date,season,season_type,team,opponent,location,team_total,opp_total,team_q1,opp_q1,team_q2,opp_q2,team_q3,opp_q3,team_q4,opp_q4,ot_count,winner,valid_linescore,espn_url,team_ot1,opp_ot1
2026-01-03T00:00:00+00:00,2026,REG,Brooklyn Nets,Washington Wizards,AWAY,99,119,24,37,26,27,23,32,26,23,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401810332/nets-wizards,,
2026-01-01T23:00:00+00:00,2026,REG,Brooklyn Nets,Houston Rockets,HOME,96,120,20,26,22,27,25,37,29,30,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401810326/rockets-nets,,
2025-12-30T00:30:00+00:00,2026,REG,Brooklyn Nets,Golden State Warriors,HOME,107,120,30,28,27,31,28,30,22,31,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401810304/warriors-nets,,
2025-12-28T01:00:00+00:00,2026,REG,Brooklyn Nets,Minnesota Timberwolves,AWAY,123,107,33,30,29,33,36,23,25,21,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401810294/nets-timberwolves,,
2025-12-24T00:00:00+00:00,2026,REG,Brooklyn Nets,Philadelphia 76ers,AWAY,114,106,27,27,36,30,26,20,25,29,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401810265/nets-76ers,,
2025-12-21T23:00:00+00:00,2026,REG,Brooklyn Nets,Toronto Raptors,HOME,96,81,24,18,25,21,18,26,29,16,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401810252/raptors-nets,,
2025-12-19T00:30:00+00:00,2026,REG,Brooklyn Nets,Miami Heat,HOME,95,106,27,30,22,24,24,23,22,29,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401810228/heat-nets,,
2025-12-14T23:00:00+00:00,2026,REG,Brooklyn Nets,Milwaukee Bucks,HOME,127,82,37,25,28,23,34,23,28,11,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401836800/bucks-nets,,
2025-12-13T01:30:00+00:00,2026,REG,Brooklyn Nets,Dallas Mavericks,AWAY,111,119,33,32,28,33,31,25,19,29,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401836795/nets-mavericks,,
2025-12-06T22:00:00+00:00,2026,REG,Brooklyn Nets,New Orleans Pelicans,HOME,119,101,35,24,27,20,34,31,23,26,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401810205/pelicans-nets,,
2025-12-05T00:30:00+00:00,2026,REG,Brooklyn Nets,Utah Jazz,HOME,110,123,29,20,29,29,32,32,20,42,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401810190/jazz-nets,,
2025-12-04T01:00:00+00:00,2026,REG,Brooklyn Nets,Chicago Bulls,AWAY,113,103,29,24,25,20,29,31,30,28,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401810184/nets-bulls,,
2025-12-02T00:30:00+00:00,2026,REG,Brooklyn Nets,Charlotte Hornets,HOME,116,103,26,27,33,32,29,23,28,21,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401810167/hornets-nets,,
2025-11-30T01:00:00+00:00,2026,REG,Brooklyn Nets,Milwaukee Bucks,AWAY,99,116,29,32,24,39,17,28,29,17,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401810152/nets-bucks,,
2025-11-29T00:30:00+00:00,2026,REG,Brooklyn Nets,Philadelphia 76ers,HOME,103,115,23,31,25,32,27,24,28,28,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401809812/76ers-nets,,
2025-11-25T00:30:00+00:00,2026,REG,Brooklyn Nets,New York Knicks,HOME,100,113,26,24,22,27,27,38,25,24,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401810140/knicks-nets,,
2025-11-23T23:00:00+00:00,2026,REG,Brooklyn Nets,Toronto Raptors,AWAY,109,119,28,34,30,31,24,22,27,32,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401810134/nets-raptors,,
2025-11-22T00:30:00+00:00,2026,REG,Brooklyn Nets,Boston Celtics,AWAY,113,105,22,28,40,25,30,24,21,28,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401809791/nets-celtics,,
2025-11-19T00:30:00+00:00,2026,REG,Brooklyn Nets,Boston Celtics,HOME,99,113,29,29,32,33,24,27,14,24,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401810105/celtics-nets,,
2025-11-16T23:00:00+00:00,2026,REG,Brooklyn Nets,Washington Wizards,AWAY,129,106,28,28,35,25,31,31,35,22,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401810090/nets-wizards,,
2025-11-15T00:00:00+00:00,2026,REG,Brooklyn Nets,Orlando Magic,AWAY,98,105,36,27,22,27,24,25,16,26,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401809782/nets-magic,,
2025-11-12T00:30:00+00:00,2026,REG,Brooklyn Nets,Toronto Raptors,HOME,109,119,30,28,22,32,29,29,28,30,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401810062/raptors-nets,,
2025-11-09T23:00:00+00:00,2026,REG,Brooklyn Nets,New York Knicks,AWAY,98,134,22,40,40,37,17,35,19,22,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401810047/nets-knicks,,
2025-11-08T00:30:00+00:00,2026,REG,Brooklyn Nets,Detroit Pistons,HOME,107,125,29,27,26,33,19,34,33,31,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401809773/pistons-nets,,
2025-11-06T00:00:00+00:00,2026,REG,Brooklyn Nets,Indiana Pacers,AWAY,112,103,25,18,29,41,26,24,32,20,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401810028/nets-pacers,,
2025-11-04T00:00:00+00:00,2026,REG,Brooklyn Nets,Minnesota Timberwolves,HOME,109,125,28,28,31,35,29,28,21,34,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401810011/timberwolves-nets,,
2025-11-02T23:00:00+00:00,2026,REG,Brooklyn Nets,Philadelphia 76ers,HOME,105,129,37,40,18,33,23,17,27,39,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401810004/76ers-nets,,
2025-10-29T23:30:00+00:00,2026,REG,Brooklyn Nets,Atlanta Hawks,HOME,112,117,27,34,24,30,32,30,29,23,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401809985/hawks-nets,,
2025-10-28T00:00:00+00:00,2026,REG,Brooklyn Nets,Houston Rockets,AWAY,109,137,25,42,35,29,17,32,32,34,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401809971/nets-rockets,,
2025-10-26T18:00:00+00:00,2026,REG,Brooklyn Nets,San Antonio Spurs,AWAY,107,118,24,31,24,38,33,19,26,30,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401809960/nets-spurs,,
2025-10-24T23:30:00+00:00,2026,REG,Brooklyn Nets,Cleveland Cavaliers,HOME,124,131,23,34,28,29,35,45,38,23,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401809944/cavaliers-nets,,
2025-10-22T23:00:00+00:00,2026,REG,Brooklyn Nets,Charlotte Hornets,AWAY,117,136,32,38,28,39,37,34,20,25,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401809933/nets-hornets,,
2025-04-13T17:00:00+00:00,2025,REG,Brooklyn Nets,New York Knicks,HOME,105,113,37,38,29,24,17,27,22,24,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401705754/knicks-nets,,
2025-04-12T01:00:00+00:00,2025,REG,Brooklyn Nets,Minnesota Timberwolves,AWAY,91,117,16,28,36,36,21,34,18,19,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401705745/nets-timberwolves,,
2025-04-10T23:30:00+00:00,2025,REG,Brooklyn Nets,Atlanta Hawks,HOME,109,133,14,33,31,36,29,34,35,30,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401705735/hawks-nets,,
2025-04-08T23:30:00+00:00,2025,REG,Brooklyn Nets,New Orleans Pelicans,HOME,119,114,26,24,28,29,43,26,22,35,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401705716/pelicans-nets,,
