date,season,season_type,team,opponent,location,team_total,opp_total,team_q1,opp_q1,team_q2,opp_q2,team_q3,opp_q3,team_q4,opp_q4,ot_count,winner,valid_linescore,espn_url,team_ot1,opp_ot1
2026-01-04T03:30:00+00:00,2026,REG,Boston Celtics,LA Clippers,AWAY,146,115,42,28,29,35,42,36,33,16,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401810348/celtics-clippers,,
2026-01-02T03:00:00+00:00,2026,REG,Boston Celtics,Sacramento Kings,AWAY,120,106,28,29,34,32,26,27,32,18,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401810329/celtics-kings,,
2025-12-31T02:00:00+00:00,2026,REG,Boston Celtics,Utah Jazz,AWAY,129,119,31,38,28,26,40,32,30,23,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401810314/celtics-jazz,,
2025-12-28T23:00:00+00:00,2026,REG,Boston Celtics,Portland Trail Blazers,AWAY,108,114,30,31,33,24,22,31,23,28,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401810299/celtics-trail-blazers,,
2025-12-27T00:00:00+00:00,2026,REG,Boston Celtics,Indiana Pacers,AWAY,140,122,28,39,47,22,36,30,29,31,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401810281/celtics-pacers,,
2025-12-23T00:30:00+00:00,2026,REG,Boston Celtics,Indiana Pacers,HOME,103,95,26,35,17,26,31,21,29,13,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401810258/pacers-celtics,,
2025-12-21T00:00:00+00:00,2026,REG,Boston Celtics,Toronto Raptors,AWAY,112,96,32,20,17,31,34,29,29,16,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401810243/celtics-raptors,,
2025-12-20T00:00:00+00:00,2026,REG,Boston Celtics,Miami Heat,HOME,129,116,30,29,28,29,34,31,37,27,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401810236/heat-celtics,,
2025-12-16T00:00:00+00:00,2026,REG,Boston Celtics,Detroit Pistons,HOME,105,112,33,25,24,28,24,32,24,27,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401836803/pistons-celtics,,
2025-12-12T01:00:00+00:00,2026,REG,Boston Celtics,Milwaukee Bucks,AWAY,101,116,35,29,32,31,13,27,21,29,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401836747/celtics-bucks,,
2025-12-07T20:30:00+00:00,2026,REG,Boston Celtics,Toronto Raptors,AWAY,121,113,34,26,43,33,20,32,24,22,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401810213/celtics-raptors,,
2025-12-06T00:00:00+00:00,2026,REG,Boston Celtics,Los Angeles Lakers,HOME,126,105,39,17,30,29,28,36,29,23,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401810193/lakers-celtics,,
2025-12-05T00:00:00+00:00,2026,REG,Boston Celtics,Washington Wizards,AWAY,146,101,32,26,34,33,43,27,37,15,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401810189/celtics-wizards,,
2025-12-03T01:00:00+00:00,2026,REG,Boston Celtics,New York Knicks,HOME,123,117,21,32,37,20,36,24,29,41,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401810175/knicks-celtics,,
2025-11-30T23:00:00+00:00,2026,REG,Boston Celtics,Cleveland Cavaliers,AWAY,117,115,28,26,30,25,32,28,27,36,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401810157/celtics-cavaliers,,
2025-11-29T22:00:00+00:00,2026,REG,Boston Celtics,Minnesota Timberwolves,AWAY,115,119,36,32,33,27,23,35,23,25,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401810148/celtics-timberwolves,,
2025-11-26T22:00:00+00:00,2026,REG,Boston Celtics,Detroit Pistons,HOME,117,114,24,30,33,28,29,25,31,31,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401809802/pistons-celtics,,
2025-11-23T23:00:00+00:00,2026,REG,Boston Celtics,Orlando Magic,HOME,138,129,32,27,48,30,30,32,28,40,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401810132/magic-celtics,,
2025-11-22T00:30:00+00:00,2026,REG,Boston Celtics,Brooklyn Nets,HOME,105,113,28,22,25,40,24,30,28,21,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401809791/nets-celtics,,
2025-11-19T00:30:00+00:00,2026,REG,Boston Celtics,Brooklyn Nets,AWAY,113,99,29,29,33,32,27,24,24,14,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401810105/celtics-nets,,
2025-11-16T20:30:00+00:00,2026,REG,Boston Celtics,LA Clippers,HOME,121,118,37,30,26,19,27,36,31,33,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401810088/clippers-celtics,,
2025-11-13T00:30:00+00:00,2026,REG,Boston Celtics,Memphis Grizzlies,HOME,131,95,34,26,33,20,33,28,31,21,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401810071/grizzlies-celtics,,
2025-11-12T01:00:00+00:00,2026,REG,Boston Celtics,Philadelphia 76ers,AWAY,100,102,22,23,19,28,36,20,23,31,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401810064/celtics-76ers,,
2025-11-09T23:00:00+00:00,2026,REG,Boston Celtics,Orlando Magic,AWAY,111,107,30,33,24,21,24,26,33,27,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401810048/celtics-magic,,
2025-11-08T00:00:00+00:00,2026,REG,Boston Celtics,Orlando Magic,AWAY,110,123,25,38,26,21,29,25,30,39,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401809510/celtics-magic,,
2025-11-06T00:30:00+00:00,2026,REG,Boston Celtics,Washington Wizards,HOME,136,107,26,37,44,23,32,20,34,27,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401810029/wizards-celtics,,
2025-11-04T00:30:00+00:00,2026,REG,Boston Celtics,Utah Jazz,HOME,103,105,25,21,21,15,26,38,31,31,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401810013/jazz-celtics,,
2025-11-02T00:00:00+00:00,2026,REG,Boston Celtics,Houston Rockets,HOME,101,128,24,37,24,29,24,31,29,31,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401810001/rockets-celtics,,
2025-10-31T23:00:00+00:00,2026,REG,Boston Celtics,Philadelphia 76ers,AWAY,109,108,38,25,30,32,21,25,20,26,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401809503/celtics-76ers,,
