date,season,season_type,team,opponent,location,team_total,opp_total,team_q1,opp_q1,team_q2,opp_q2,team_q3,opp_q3,team_q4,opp_q4,ot_count,winner,valid_linescore,espn_url,team_ot1,team_ot2,opp_ot1,opp_ot2
2025-04-13T17:00:00+00:00,2025,REG,Charlotte Hornets,Boston Celtics,AWAY,86,93,15,33,28,21,25,15,18,24,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401705753/hornets-celtics,,,,
2025-04-11T23:30:00+00:00,2025,REG,Charlotte Hornets,Boston Celtics,AWAY,94,130,25,25,28,29,22,37,19,39,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401705740/hornets-celtics,,,,
2025-04-09T23:30:00+00:00,2025,REG,Charlotte Hornets,Toronto Raptors,AWAY,96,126,23,25,22,28,23,35,28,38,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401705724/hornets-raptors,,,,
2025-04-08T23:00:00+00:00,2025,REG,Charlotte Hornets,Memphis Grizzlies,HOME,100,124,18,33,26,30,30,34,26,27,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401705712/grizzlies-hornets,,,,
2025-04-06T17:00:00+00:00,2025,REG,Charlotte Hornets,Chicago Bulls,HOME,117,131,28,29,27,46,26,20,36,36,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401705699/bulls-hornets,,,,
2025-04-04T23:00:00+00:00,2025,REG,Charlotte Hornets,Sacramento Kings,HOME,102,125,18,26,31,42,23,30,30,27,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401705684/kings-hornets,,,,
2025-04-02T23:00:00+00:00,2025,REG,Charlotte Hornets,Indiana Pacers,AWAY,105,119,25,32,20,21,28,34,32,32,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401705670/hornets-pacers,,,,
2025-03-31T23:00:00+00:00,2025,REG,Charlotte Hornets,Utah Jazz,HOME,110,106,28,21,26,26,26,31,30,28,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401705655/jazz-hornets,,,,
2025-03-30T23:00:00+00:00,2025,REG,Charlotte Hornets,New Orleans Pelicans,AWAY,94,98,25,21,27,22,21,31,21,24,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401705651/hornets-pelicans,,,,
2025-03-28T23:30:00+00:00,2025,REG,Charlotte Hornets,Toronto Raptors,AWAY,97,108,20,32,27,17,25,34,25,25,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401705635/hornets-raptors,,,,
2025-03-25T23:00:00+00:00,2025,REG,Charlotte Hornets,Orlando Magic,HOME,104,111,27,29,26,34,30,20,21,28,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401705611/magic-hornets,,,,
2025-03-23T22:00:00+00:00,2025,REG,Charlotte Hornets,Miami Heat,AWAY,105,122,26,20,21,37,28,39,30,26,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401705598/hornets-heat,,,,
2025-03-22T00:00:00+00:00,2025,REG,Charlotte Hornets,Oklahoma City Thunder,AWAY,106,141,14,34,35,32,27,37,30,38,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401705583/hornets-thunder,,,,
2025-03-20T23:00:00+00:00,2025,REG,Charlotte Hornets,New York Knicks,HOME,115,98,27,19,27,25,31,28,30,26,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401705576/knicks-hornets,,,,
2025-03-18T23:00:00+00:00,2025,REG,Charlotte Hornets,Atlanta Hawks,HOME,102,134,25,32,32,38,23,36,22,28,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401705559/hawks-hornets,,,,
2025-03-16T23:00:00+00:00,2025,REG,Charlotte Hornets,LA Clippers,AWAY,88,123,21,32,20,33,21,30,26,28,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401748706/hornets-clippers,,,,
