date,season,season_type,team,opponent,location,team_total,opp_total,team_q1,opp_q1,team_q2,opp_q2,team_q3,opp_q3,team_q4,opp_q4,ot_count,winner,valid_linescore,espn_url,team_ot1,team_ot2,opp_ot1,opp_ot2
2026-01-04T01:00:00+00:00,2026,REG,Chicago Bulls,Charlotte Hornets,HOME,99,112,39,27,19,23,17,32,24,30,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401810344/hornets-bulls,,,,
2026-01-03T01:00:00+00:00,2026,REG,Chicago Bulls,Orlando Magic,HOME,121,114,22,32,37,27,32,36,30,19,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401810335/magic-bulls,,,,
2026-01-01T00:00:00+00:00,2026,REG,Chicago Bulls,New Orleans Pelicans,HOME,134,118,36,32,31,30,30,28,37,28,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401810321/pelicans-bulls,,,,
2025-12-30T01:00:00+00:00,2026,REG,Chicago Bulls,Minnesota Timberwolves,HOME,101,136,23,21,27,34,28,40,23,41,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401810307/timberwolves-bulls,,,,
2025-12-28T01:00:00+00:00,2026,REG,Chicago Bulls,Milwaukee Bucks,HOME,103,112,26,28,24,26,30,31,23,27,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401810292/bucks-bulls,,,,
2025-12-27T00:30:00+00:00,2026,REG,Chicago Bulls,Philadelphia 76ers,HOME,109,102,30,28,19,24,32,33,28,17,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401810282/76ers-bulls,,,,
2025-12-24T00:30:00+00:00,2026,REG,Chicago Bulls,Atlanta Hawks,AWAY,126,123,30,36,25,32,37,37,34,18,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401810266/bulls-hawks,,,,
2025-12-21T20:30:00+00:00,2026,REG,Chicago Bulls,Atlanta Hawks,AWAY,152,150,38,38,45,35,33,42,36,35,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401810251/bulls-hawks,,,,
2025-12-20T00:30:00+00:00,2026,REG,Chicago Bulls,Cleveland Cavaliers,AWAY,136,125,32,32,34,23,35,44,35,26,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401810239/bulls-cavaliers,,,,
2025-12-18T01:00:00+00:00,2026,REG,Chicago Bulls,Cleveland Cavaliers,HOME,127,111,33,34,29,24,33,30,32,23,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401810222/cavaliers-bulls,,,,
2025-12-15T00:00:00+00:00,2026,REG,Chicago Bulls,New Orleans Pelicans,HOME,104,114,26,21,21,31,28,24,29,38,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401836804/pelicans-bulls,,,,
2025-12-13T00:00:00+00:00,2026,REG,Chicago Bulls,Charlotte Hornets,AWAY,129,126,33,29,22,32,34,31,40,34,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401836750/bulls-hornets,,,,
2025-12-08T00:00:00+00:00,2026,REG,Chicago Bulls,Golden State Warriors,HOME,91,123,25,38,21,22,30,27,15,36,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401810216/warriors-bulls,,,,
2025-12-06T01:00:00+00:00,2026,REG,Chicago Bulls,Indiana Pacers,HOME,105,120,33,30,24,32,26,30,22,28,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401810200/pacers-bulls,,,,
2025-12-04T01:00:00+00:00,2026,REG,Chicago Bulls,Brooklyn Nets,HOME,103,113,24,29,20,25,31,29,28,30,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401810184/nets-bulls,,,,
2025-12-02T00:30:00+00:00,2026,REG,Chicago Bulls,Orlando Magic,AWAY,120,125,26,29,27,24,32,32,35,40,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401810169/bulls-magic,,,,
2025-11-30T00:30:00+00:00,2026,REG,Chicago Bulls,Indiana Pacers,AWAY,101,103,27,26,27,35,26,25,21,17,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401810150/bulls-pacers,,,,
2025-11-29T00:30:00+00:00,2026,REG,Chicago Bulls,Charlotte Hornets,AWAY,116,123,29,32,33,35,32,26,22,30,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401809813/bulls-hornets,,,,
2025-11-25T01:00:00+00:00,2026,REG,Chicago Bulls,New Orleans Pelicans,AWAY,130,143,30,37,28,37,35,34,37,35,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401810144/bulls-pelicans,,,,
2025-11-23T01:00:00+00:00,2026,REG,Chicago Bulls,Washington Wizards,HOME,121,120,40,41,24,29,28,28,29,22,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401810126/wizards-bulls,,,,
2025-11-22T01:00:00+00:00,2026,REG,Chicago Bulls,Miami Heat,HOME,107,143,32,36,20,34,23,32,32,41,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401809793/heat-bulls,,,,
2025-11-20T03:00:00+00:00,2026,REG,Chicago Bulls,Portland Trail Blazers,AWAY,122,121,28,29,34,29,36,24,24,39,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401810118/bulls-trail-blazers,,,,
2025-11-18T02:00:00+00:00,2026,REG,Chicago Bulls,Denver Nuggets,AWAY,130,127,30,28,33,36,40,29,27,34,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401810103/bulls-nuggets,,,,
2025-11-17T01:00:00+00:00,2026,REG,Chicago Bulls,Utah Jazz,AWAY,147,150,33,33,37,28,28,33,29,33,2,OPP,True,https://www.espn.com/nba/game/_/gameId/401810095/bulls-jazz,9,11,9,14
2025-11-13T00:00:00+00:00,2026,REG,Chicago Bulls,Detroit Pistons,AWAY,113,124,23,35,29,33,27,27,34,29,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401810069/bulls-pistons,,,,
