date,season,season_type,team,opponent,location,team_total,opp_total,team_q1,opp_q1,team_q2,opp_q2,team_q3,opp_q3,team_q4,opp_q4,ot_count,winner,valid_linescore,espn_url,team_ot1,team_ot2,opp_ot1,opp_ot2
2026-01-03T00:30:00+00:00,2026,REG,Cleveland Cavaliers,Denver Nuggets,HOME,113,108,28,24,34,35,26,38,25,11,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401810333/nuggets-cavaliers,,,,
2025-12-31T20:30:00+00:00,2026,REG,Cleveland Cavaliers,Phoenix Suns,HOME,129,113,37,21,30,33,29,35,33,24,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401810320/suns-cavaliers,,,,
2025-12-30T01:00:00+00:00,2026,REG,Cleveland Cavaliers,San Antonio Spurs,AWAY,113,101,25,26,24,29,27,23,37,23,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401810311/cavaliers-spurs,,,,
2025-12-28T01:00:00+00:00,2026,REG,Cleveland Cavaliers,Houston Rockets,AWAY,100,117,24,32,22,28,17,30,37,27,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401810293/cavaliers-rockets,,,,
2025-12-25T17:00:00+00:00,2026,REG,Cleveland Cavaliers,New York Knicks,AWAY,124,126,38,23,20,37,38,24,28,42,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401809238/cavaliers-knicks,,,,
2025-12-24T00:30:00+00:00,2026,REG,Cleveland Cavaliers,New Orleans Pelicans,HOME,141,118,32,22,37,38,41,31,31,27,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401810267/pelicans-cavaliers,,,,
2025-12-23T00:00:00+00:00,2026,REG,Cleveland Cavaliers,Charlotte Hornets,HOME,139,132,33,36,37,27,34,32,35,37,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401810257/hornets-cavaliers,,,,
2025-12-20T00:30:00+00:00,2026,REG,Cleveland Cavaliers,Chicago Bulls,HOME,125,136,32,32,23,34,44,35,26,35,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401810239/bulls-cavaliers,,,,
2025-12-18T01:00:00+00:00,2026,REG,Cleveland Cavaliers,Chicago Bulls,AWAY,111,127,34,33,24,29,30,33,23,32,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401810222/cavaliers-bulls,,,,
2025-12-14T20:30:00+00:00,2026,REG,Cleveland Cavaliers,Charlotte Hornets,HOME,111,119,29,33,18,24,32,31,32,23,1,OPP,True,https://www.espn.com/nba/game/_/gameId/401836799/hornets-cavaliers,0,,8,
2025-12-13T00:00:00+00:00,2026,REG,Cleveland Cavaliers,Washington Wizards,AWAY,130,126,35,24,27,36,23,40,45,26,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401836753/cavaliers-wizards,,,,
2025-12-07T00:30:00+00:00,2026,REG,Cleveland Cavaliers,Golden State Warriors,HOME,94,99,18,12,18,33,26,27,32,27,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401810207/warriors-cavaliers,,,,
