date,season,season_type,team,opponent,location,team_total,opp_total,team_q1,opp_q1,team_q2,opp_q2,team_q3,opp_q3,team_q4,opp_q4,ot_count,winner,valid_linescore,espn_url,team_ot1,team_ot2,opp_ot1,opp_ot2
2026-01-04T01:30:00+00:00,2026,REG,Dallas Mavericks,Houston Rockets,HOME,110,104,25,31,32,19,30,25,23,29,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401810346/rockets-mavericks,,,,
2026-01-02T01:30:00+00:00,2026,REG,Dallas Mavericks,Philadelphia 76ers,HOME,108,123,33,27,24,41,26,24,25,31,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401810328/76ers-mavericks,,,,
2025-12-30T03:30:00+00:00,2026,REG,Dallas Mavericks,Portland Trail Blazers,AWAY,122,125,29,42,34,33,30,22,29,28,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401810312/mavericks-trail-blazers,,,,
2025-12-27T22:00:00+00:00,2026,REG,Dallas Mavericks,Sacramento Kings,AWAY,107,113,23,31,21,28,33,29,30,25,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401810287/mavericks-kings,,,,
2025-12-25T22:17:00+00:00,2026,REG,Dallas Mavericks,Golden State Warriors,AWAY,116,126,28,40,30,31,31,29,27,26,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401809240/mavericks-warriors,,,,
2025-12-24T01:00:00+00:00,2026,REG,Dallas Mavericks,Denver Nuggets,HOME,131,130,41,27,25,29,37,47,28,27,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401810270/nuggets-mavericks,,,,
2025-12-23T01:00:00+00:00,2026,REG,Dallas Mavericks,New Orleans Pelicans,AWAY,113,119,34,36,29,21,24,22,26,40,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401810259/mavericks-pelicans,,,,
2025-12-21T00:00:00+00:00,2026,REG,Dallas Mavericks,Philadelphia 76ers,AWAY,114,121,33,38,29,30,35,23,17,30,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401810242/mavericks-76ers,,,,
2025-12-19T01:30:00+00:00,2026,REG,Dallas Mavericks,Detroit Pistons,HOME,116,114,35,30,31,27,25,22,19,31,1,TEAM,True,https://www.espn.com/nba/game/_/gameId/401810231/pistons-mavericks,6,,4,
2025-12-16T02:00:00+00:00,2026,REG,Dallas Mavericks,Utah Jazz,AWAY,133,140,43,37,32,34,24,21,30,37,1,OPP,True,https://www.espn.com/nba/game/_/gameId/401836805/mavericks-jazz,4,,11,
