date,season,season_type,team,opponent,location,team_total,opp_total,team_q1,opp_q1,team_q2,opp_q2,team_q3,opp_q3,team_q4,opp_q4,ot_count,winner,valid_linescore,espn_url,team_ot1,opp_ot1
2026-01-04T03:00:00+00:00,2026,REG,Golden State Warriors,Utah Jazz,HOME,123,114,25,29,33,36,42,31,23,18,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401810347/jazz-warriors,,
2026-01-03T03:00:00+00:00,2026,REG,Golden State Warriors,Oklahoma City Thunder,HOME,94,131,23,34,22,30,21,31,28,36,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401810339/thunder-warriors,,
2025-12-31T18:00:00+00:00,2026,REG,Golden State Warriors,Charlotte Hornets,AWAY,132,125,30,30,39,34,29,36,34,25,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401810317/warriors-hornets,,
2025-12-30T00:30:00+00:00,2026,REG,Golden State Warriors,Brooklyn Nets,AWAY,120,107,28,30,31,27,30,28,31,22,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401810304/warriors-nets,,
2025-12-28T20:30:00+00:00,2026,REG,Golden State Warriors,Toronto Raptors,AWAY,127,141,29,33,35,32,36,31,22,26,1,OPP,True,https://www.espn.com/nba/game/_/gameId/401810296/warriors-raptors,5,19
2025-12-25T22:17:00+00:00,2026,REG,Golden State Warriors,Dallas Mavericks,HOME,126,116,40,28,31,30,29,31,26,27,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401809240/mavericks-warriors,,
2025-12-23T03:00:00+00:00,2026,REG,Golden State Warriors,Orlando Magic,HOME,120,97,26,30,32,27,31,26,31,14,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401810262/magic-warriors,,
2025-12-21T01:30:00+00:00,2026,REG,Golden State Warriors,Phoenix Suns,HOME,119,116,32,44,32,23,29,20,26,29,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401810247/suns-warriors,,
2025-12-19T02:00:00+00:00,2026,REG,Golden State Warriors,Phoenix Suns,AWAY,98,99,29,26,24,20,18,24,27,29,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401810233/warriors-suns,,
2025-12-15T02:00:00+00:00,2026,REG,Golden State Warriors,Portland Trail Blazers,AWAY,131,136,31,34,31,27,37,35,32,40,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401836802/warriors-trail-blazers,,
2025-12-13T03:00:00+00:00,2026,REG,Golden State Warriors,Minnesota Timberwolves,HOME,120,127,27,28,36,33,28,27,29,39,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401836796/timberwolves-warriors,,
2025-12-08T00:00:00+00:00,2026,REG,Golden State Warriors,Chicago Bulls,AWAY,123,91,38,25,22,21,27,30,36,15,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401810216/warriors-bulls,,
2025-12-07T00:30:00+00:00,2026,REG,Golden State Warriors,Cleveland Cavaliers,AWAY,99,94,12,18,33,18,27,26,27,32,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401810207/warriors-cavaliers,,
2025-12-05T00:00:00+00:00,2026,REG,Golden State Warriors,Philadelphia 76ers,AWAY,98,99,10,30,24,26,32,24,32,19,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401810188/warriors-76ers,,
2025-12-03T04:00:00+00:00,2026,REG,Golden State Warriors,Oklahoma City Thunder,HOME,112,124,26,32,18,31,44,28,24,33,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401810178/thunder-warriors,,
2025-11-30T01:30:00+00:00,2026,REG,Golden State Warriors,New Orleans Pelicans,HOME,104,96,17,18,25,20,31,34,31,24,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401810153/pelicans-warriors,,
2025-11-27T03:00:00+00:00,2026,REG,Golden State Warriors,Houston Rockets,HOME,100,104,25,22,34,25,17,27,24,30,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401809808/rockets-warriors,,
2025-11-25T03:00:00+00:00,2026,REG,Golden State Warriors,Utah Jazz,HOME,134,117,26,35,41,20,39,29,28,33,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401810146/jazz-warriors,,
2025-11-22T03:00:00+00:00,2026,REG,Golden State Warriors,Portland Trail Blazers,HOME,123,127,28,35,44,30,25,29,26,33,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401809798/trail-blazers-warriors,,
2025-11-20T00:30:00+00:00,2026,REG,Golden State Warriors,Miami Heat,AWAY,96,110,20,29,25,20,29,23,22,38,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401810112/warriors-heat,,
2025-11-19T00:00:00+00:00,2026,REG,Golden State Warriors,Orlando Magic,AWAY,113,121,32,36,28,31,25,26,28,28,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401810104/warriors-magic,,
2025-11-17T00:00:00+00:00,2026,REG,Golden State Warriors,New Orleans Pelicans,AWAY,124,106,44,28,17,21,24,22,39,35,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401810092/warriors-pelicans,,
2025-11-15T02:30:00+00:00,2026,REG,Golden State Warriors,San Antonio Spurs,AWAY,109,108,18,20,29,25,30,34,32,29,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401809789/warriors-spurs,,
2025-11-13T01:00:00+00:00,2026,REG,Golden State Warriors,San Antonio Spurs,AWAY,125,120,14,28,35,28,43,28,33,36,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401810075/warriors-spurs,,
2025-11-12T01:00:00+00:00,2026,REG,Golden State Warriors,Oklahoma City Thunder,AWAY,102,126,25,34,19,29,28,44,30,19,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401810065/warriors-thunder,,
2025-11-10T01:30:00+00:00,2026,REG,Golden State Warriors,Indiana Pacers,HOME,114,83,23,21,25,20,27,24,39,18,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401810051/pacers-warriors,,
2025-11-08T03:00:00+00:00,2026,REG,Golden State Warriors,Denver Nuggets,AWAY,104,129,21,32,28,34,28,33,27,30,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401809779/warriors-nuggets,,
2025-11-06T03:00:00+00:00,2026,REG,Golden State Warriors,Sacramento Kings,AWAY,116,121,32,25,30,32,23,35,31,29,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401810036/warriors-kings,,
2025-11-05T03:00:00+00:00,2026,REG,Golden State Warriors,Phoenix Suns,HOME,118,107,33,19,35,30,24,34,26,24,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401810024/suns-warriors,,
2025-11-01T23:00:00+00:00,2026,REG,Golden State Warriors,Indiana Pacers,AWAY,109,114,32,28,26,25,30,29,21,32,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401809999/warriors-pacers,,
2025-10-31T00:00:00+00:00,2026,REG,Golden State Warriors,Milwaukee Bucks,AWAY,110,120,25,34,33,26,26,27,26,33,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401809994/warriors-bucks,,
2025-10-29T03:00:00+00:00,2026,REG,Golden State Warriors,LA Clippers,HOME,98,79,33,25,13,24,32,14,20,16,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401809982/clippers-warriors,,
2025-10-28T02:00:00+00:00,2026,REG,Golden State Warriors,Memphis Grizzlies,HOME,131,118,36,37,29,24,36,24,30,33,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401809976/grizzlies-warriors,,
