date,season,season_type,team,opponent,location,team_total,opp_total,team_q1,opp_q1,team_q2,opp_q2,team_q3,opp_q3,team_q4,opp_q4,ot_count,winner,valid_linescore,espn_url,team_ot1,team_ot2,opp_ot1,opp_ot2
2026-01-03T00:00:00+00:00,2026,REG,Indiana Pacers,San Antonio Spurs,HOME,113,123,31,30,27,41,27,22,28,30,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401810331/spurs-pacers,,,,
2025-12-31T20:00:00+00:00,2026,REG,Indiana Pacers,Orlando Magic,HOME,110,112,28,31,38,37,29,26,15,18,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401810319/magic-pacers,,,,
2025-12-30T01:00:00+00:00,2026,REG,Indiana Pacers,Houston Rockets,AWAY,119,126,25,30,23,36,30,39,41,21,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401810308/pacers-rockets,,,,
2025-12-28T01:00:00+00:00,2026,REG,Indiana Pacers,Miami Heat,AWAY,116,142,28,29,32,30,34,39,22,44,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401810291/pacers-heat,,,,
2025-12-27T00:00:00+00:00,2026,REG,Indiana Pacers,Boston Celtics,HOME,122,140,39,28,22,47,30,36,31,29,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401810281/celtics-pacers,,,,
2025-12-24T00:30:00+00:00,2026,REG,Indiana Pacers,Milwaukee Bucks,HOME,94,111,20,26,24,33,24,27,26,25,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401810268/bucks-pacers,,,,
2025-12-23T00:30:00+00:00,2026,REG,Indiana Pacers,Boston Celtics,AWAY,95,103,35,26,26,17,21,31,13,29,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401810258/pacers-celtics,,,,
2025-12-21T00:00:00+00:00,2026,REG,Indiana Pacers,New Orleans Pelicans,AWAY,109,128,27,44,22,20,30,34,30,30,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401810244/pacers-pelicans,,,,
2025-12-19T00:00:00+00:00,2026,REG,Indiana Pacers,New York Knicks,HOME,113,114,36,25,26,34,30,27,21,28,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401810227/knicks-pacers,,,,
2025-12-14T20:00:00+00:00,2026,REG,Indiana Pacers,Washington Wizards,HOME,89,108,32,31,15,27,19,23,23,27,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401836797/wizards-pacers,,,,
2025-12-13T00:00:00+00:00,2026,REG,Indiana Pacers,Philadelphia 76ers,AWAY,105,115,31,34,27,29,32,27,15,25,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401836752/pacers-76ers,,,,
2025-12-09T00:00:00+00:00,2026,REG,Indiana Pacers,Sacramento Kings,HOME,116,105,35,23,31,28,26,37,24,17,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401810219/kings-pacers,,,,
2025-12-06T01:00:00+00:00,2026,REG,Indiana Pacers,Chicago Bulls,AWAY,120,105,30,33,32,24,30,26,28,22,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401810200/pacers-bulls,,,,
2025-12-04T00:00:00+00:00,2026,REG,Indiana Pacers,Denver Nuggets,HOME,120,135,28,33,20,39,31,30,41,33,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401810180/nuggets-pacers,,,,
