date,season,season_type,team,opponent,location,team_total,opp_total,team_q1,opp_q1,team_q2,opp_q2,team_q3,opp_q3,team_q4,opp_q4,ot_count,winner,valid_linescore,espn_url,team_ot1,team_ot2,opp_ot1,opp_ot2
2025-05-03T23:30:00+00:00,2025,POST,LA Clippers,Denver Nuggets,AWAY,101,120,26,21,21,37,19,35,35,27,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401768066/clippers-nuggets,,,,
2025-05-02T02:00:00+00:00,2025,POST,LA Clippers,Denver Nuggets,HOME,111,105,25,28,33,29,32,22,21,26,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401768065/nuggets-clippers,,,,
2025-04-30T02:00:00+00:00,2025,POST,LA Clippers,Denver Nuggets,AWAY,115,131,23,35,36,32,24,32,32,32,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401768064/clippers-nuggets,,,,
2025-04-26T22:00:00+00:00,2025,POST,LA Clippers,Denver Nuggets,HOME,99,101,22,27,26,23,17,35,34,16,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401768063/nuggets-clippers,,,,
2025-04-25T02:00:00+00:00,2025,POST,LA Clippers,Denver Nuggets,HOME,117,83,35,28,30,19,25,23,27,13,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401768062/nuggets-clippers,,,,
2025-04-22T02:00:00+00:00,2025,POST,LA Clippers,Denver Nuggets,AWAY,105,102,25,31,30,21,23,24,27,26,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401768061/clippers-nuggets,,,,
2025-04-19T19:30:00+00:00,2025,POST,LA Clippers,Denver Nuggets,AWAY,110,112,35,27,18,22,22,23,23,26,1,OPP,True,https://www.espn.com/nba/game/_/gameId/401767819/clippers-nuggets,12,,14,
2025-04-13T19:30:00+00:00,2025,REG,LA Clippers,Golden State Warriors,AWAY,124,119,25,33,35,25,23,24,28,29,1,TEAM,True,https://www.espn.com/nba/game/_/gameId/401705764/clippers-warriors,13,,8,
2025-04-12T02:00:00+00:00,2025,REG,LA Clippers,Sacramento Kings,AWAY,101,100,24,29,26,20,25,21,26,30,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401705750/clippers-kings,,,,
2025-04-10T02:30:00+00:00,2025,REG,LA Clippers,Houston Rockets,HOME,134,117,36,35,35,23,34,33,29,26,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401705732/rockets-clippers,,,,
2025-04-09T02:30:00+00:00,2025,REG,LA Clippers,San Antonio Spurs,HOME,122,117,28,26,26,26,37,26,31,39,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401705721/spurs-clippers,,,,
2025-04-06T02:30:00+00:00,2025,REG,LA Clippers,Dallas Mavericks,HOME,135,104,33,21,28,31,44,30,30,22,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401705698/mavericks-clippers,,,,
2025-04-05T02:30:00+00:00,2025,REG,LA Clippers,Dallas Mavericks,HOME,114,91,29,16,29,19,23,25,33,31,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401705693/mavericks-clippers,,,,
2025-04-03T02:30:00+00:00,2025,REG,LA Clippers,New Orleans Pelicans,HOME,114,98,22,16,37,31,24,25,31,26,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401705677/pelicans-clippers,,,,
2025-03-31T23:00:00+00:00,2025,REG,LA Clippers,Orlando Magic,AWAY,96,87,22,28,23,19,24,19,27,21,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401705657/clippers-magic,,,,
2025-03-30T19:30:00+00:00,2025,REG,LA Clippers,Cleveland Cavaliers,AWAY,122,127,25,37,39,31,24,37,34,22,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401705647/clippers-cavaliers,,,,
2025-03-28T23:30:00+00:00,2025,REG,LA Clippers,Brooklyn Nets,AWAY,132,100,26,27,42,21,37,21,27,31,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401705634/clippers-nets,,,,
2025-03-26T23:30:00+00:00,2025,REG,LA Clippers,New York Knicks,AWAY,126,113,20,33,34,22,40,29,32,29,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401705622/clippers-knicks,,,,
2025-03-24T01:00:00+00:00,2025,REG,LA Clippers,Oklahoma City Thunder,HOME,101,103,34,24,17,33,26,24,24,22,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401705602/thunder-clippers,,,,
2025-03-22T02:30:00+00:00,2025,REG,LA Clippers,Memphis Grizzlies,HOME,128,108,29,31,31,35,36,16,32,26,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401705589/grizzlies-clippers,,,,
2025-03-19T02:30:00+00:00,2025,REG,LA Clippers,Cleveland Cavaliers,HOME,132,119,37,45,31,28,38,29,26,17,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401705563/cavaliers-clippers,,,,
