date,season,season_type,team,opponent,location,team_total,opp_total,team_q1,opp_q1,team_q2,opp_q2,team_q3,opp_q3,team_q4,opp_q4,ot_count,winner,valid_linescore,espn_url,team_ot1,opp_ot1
2026-01-03T03:30:00+00:00,2026,REG,Los Angeles Lakers,Memphis Grizzlies,HOME,128,121,39,31,27,29,30,36,32,25,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401810340/grizzlies-lakers,,
2025-12-31T03:30:00+00:00,2026,REG,Los Angeles Lakers,Detroit Pistons,HOME,106,128,30,36,35,34,23,26,18,32,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401810315/pistons-lakers,,
2025-12-29T02:30:00+00:00,2026,REG,Los Angeles Lakers,Sacramento Kings,HOME,125,101,30,24,38,29,31,27,26,21,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401810301/kings-lakers,,
2025-12-26T01:00:00+00:00,2026,REG,Los Angeles Lakers,Houston Rockets,HOME,96,119,25,37,28,26,21,29,22,27,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401809241/rockets-lakers,,
2025-12-24T02:00:00+00:00,2026,REG,Los Angeles Lakers,Phoenix Suns,AWAY,108,132,26,29,31,38,29,45,22,20,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401810273/lakers-suns,,
2025-12-21T03:30:00+00:00,2026,REG,Los Angeles Lakers,LA Clippers,AWAY,88,103,15,28,24,26,22,26,27,23,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401810250/lakers-clippers,,
2025-12-19T02:00:00+00:00,2026,REG,Los Angeles Lakers,Utah Jazz,AWAY,143,135,32,41,41,37,29,28,41,29,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401810234/lakers-jazz,,
2025-12-15T01:00:00+00:00,2026,REG,Los Angeles Lakers,Phoenix Suns,AWAY,116,114,31,36,31,26,24,15,30,37,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401839699/lakers-suns,,
2025-12-11T03:00:00+00:00,2026,REG,Los Angeles Lakers,San Antonio Spurs,HOME,119,132,30,39,28,31,29,34,32,28,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401809836/spurs-lakers,,
2025-12-08T00:30:00+00:00,2026,REG,Los Angeles Lakers,Philadelphia 76ers,AWAY,112,108,30,30,23,30,34,24,25,24,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401810217/lakers-76ers,,
