date,season,season_type,team,opponent,location,team_total,opp_total,team_q1,opp_q1,team_q2,opp_q2,team_q3,opp_q3,team_q4,opp_q4,ot_count,winner,valid_linescore,espn_url,team_ot1,opp_ot1
2026-01-03T03:30:00+00:00,2026,REG,Memphis Grizzlies,Los Angeles Lakers,AWAY,121,128,31,39,29,27,36,30,25,32,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401810340/grizzlies-lakers,,
2025-12-31T01:00:00+00:00,2026,REG,Memphis Grizzlies,Philadelphia 76ers,HOME,136,139,40,34,32,38,28,31,28,25,1,OPP,True,https://www.espn.com/nba/game/_/gameId/401810313/76ers-grizzlies,8,11
2025-12-28T23:00:00+00:00,2026,REG,Memphis Grizzlies,Washington Wizards,AWAY,112,116,27,25,32,35,29,24,24,32,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401810298/grizzlies-wizards,,
2025-12-27T01:00:00+00:00,2026,REG,Memphis Grizzlies,Milwaukee Bucks,HOME,125,104,25,35,35,15,32,33,33,21,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401810283/bucks-grizzlies,,
2025-12-24T02:00:00+00:00,2026,REG,Memphis Grizzlies,Utah Jazz,AWAY,137,128,37,31,32,36,40,34,28,27,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401810274/grizzlies-jazz,,
2025-12-23T02:30:00+00:00,2026,REG,Memphis Grizzlies,Oklahoma City Thunder,AWAY,103,119,28,31,26,36,19,17,30,35,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401810261/grizzlies-thunder,,
2025-12-21T01:00:00+00:00,2026,REG,Memphis Grizzlies,Washington Wizards,HOME,122,130,30,25,38,28,27,42,27,35,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401810246/wizards-grizzlies,,
2025-12-18T01:00:00+00:00,2026,REG,Memphis Grizzlies,Minnesota Timberwolves,AWAY,116,110,29,27,32,35,27,21,28,27,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401810223/grizzlies-timberwolves,,
2025-12-16T03:30:00+00:00,2026,REG,Memphis Grizzlies,LA Clippers,AWAY,121,103,25,27,31,21,34,28,31,27,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401836807/grizzlies-clippers,,
2025-12-13T01:00:00+00:00,2026,REG,Memphis Grizzlies,Utah Jazz,HOME,126,130,31,36,33,25,33,42,29,27,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401836754/jazz-grizzlies,,
2025-12-07T23:00:00+00:00,2026,REG,Memphis Grizzlies,Portland Trail Blazers,HOME,119,96,40,20,26,26,26,32,27,18,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401810215/trail-blazers-grizzlies,,
2025-12-06T01:00:00+00:00,2026,REG,Memphis Grizzlies,LA Clippers,HOME,107,98,30,33,24,25,30,23,23,17,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401810202/clippers-grizzlies,,
2025-12-03T01:00:00+00:00,2026,REG,Memphis Grizzlies,San Antonio Spurs,AWAY,119,126,32,36,27,27,39,34,21,29,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401810177/grizzlies-spurs,,
2025-12-01T02:00:00+00:00,2026,REG,Memphis Grizzlies,Sacramento Kings,AWAY,115,107,31,35,31,24,21,28,32,20,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401810162/grizzlies-kings,,
2025-11-29T03:00:00+00:00,2026,REG,Memphis Grizzlies,LA Clippers,AWAY,112,107,24,35,26,28,28,18,34,26,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401809821/grizzlies-clippers,,
