date,season,season_type,team,opponent,location,team_total,opp_total,team_q1,opp_q1,team_q2,opp_q2,team_q3,opp_q3,team_q4,opp_q4,ot_count,winner,valid_linescore,espn_url,team_ot1,opp_ot1
2026-01-03T01:00:00+00:00,2026,REG,Milwaukee Bucks,Charlotte Hornets,HOME,122,121,24,38,27,22,36,31,35,30,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401810336/hornets-bucks,,
2026-01-01T01:00:00+00:00,2026,REG,Milwaukee Bucks,Washington Wizards,HOME,113,114,32,30,30,35,26,21,25,28,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401810324/wizards-bucks,,
2025-12-30T00:00:00+00:00,2026,REG,Milwaukee Bucks,Charlotte Hornets,AWAY,123,113,25,26,38,40,32,23,28,24,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401810302/bucks-hornets,,
2025-12-28T01:00:00+00:00,2026,REG,Milwaukee Bucks,Chicago Bulls,AWAY,112,103,28,26,26,24,31,30,27,23,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401810292/bucks-bulls,,
2025-12-27T01:00:00+00:00,2026,REG,Milwaukee Bucks,Memphis Grizzlies,AWAY,104,125,35,25,15,35,33,32,21,33,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401810283/bucks-grizzlies,,
2025-12-24T00:30:00+00:00,2026,REG,Milwaukee Bucks,Indiana Pacers,AWAY,111,94,26,20,33,24,27,24,25,26,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401810268/bucks-pacers,,
2025-12-22T00:00:00+00:00,2026,REG,Milwaukee Bucks,Minnesota Timberwolves,AWAY,100,103,29,23,31,25,15,27,25,28,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401810255/bucks-timberwolves,,
2025-12-19T01:00:00+00:00,2026,REG,Milwaukee Bucks,Toronto Raptors,HOME,105,111,25,31,28,26,23,26,29,28,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401810229/raptors-bucks,,
2025-12-14T23:00:00+00:00,2026,REG,Milwaukee Bucks,Brooklyn Nets,AWAY,82,127,25,37,23,28,23,34,11,28,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401836800/bucks-nets,,
2025-12-12T01:00:00+00:00,2026,REG,Milwaukee Bucks,Boston Celtics,HOME,116,101,29,35,31,32,27,13,29,21,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401836747/celtics-bucks,,
2025-12-07T00:30:00+00:00,2026,REG,Milwaukee Bucks,Detroit Pistons,AWAY,112,124,22,29,34,32,25,30,31,33,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401810208/bucks-pistons,,
2025-12-06T01:00:00+00:00,2026,REG,Milwaukee Bucks,Philadelphia 76ers,HOME,101,116,20,33,29,36,28,24,24,23,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401810203/76ers-bucks,,
2025-12-04T01:00:00+00:00,2026,REG,Milwaukee Bucks,Detroit Pistons,HOME,113,109,21,30,28,22,29,33,35,24,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401810186/pistons-bucks,,
2025-12-02T00:00:00+00:00,2026,REG,Milwaukee Bucks,Washington Wizards,AWAY,126,129,34,28,32,30,28,33,32,38,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401810166/bucks-wizards,,
2025-11-30T01:00:00+00:00,2026,REG,Milwaukee Bucks,Brooklyn Nets,HOME,116,99,32,29,39,24,28,17,17,29,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401810152/nets-bucks,,
2025-11-29T00:30:00+00:00,2026,REG,Milwaukee Bucks,New York Knicks,AWAY,109,118,37,33,25,28,26,31,21,26,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401809816/bucks-knicks,,
2025-11-27T00:30:00+00:00,2026,REG,Milwaukee Bucks,Miami Heat,AWAY,103,106,27,29,20,24,30,28,26,25,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401809804/bucks-heat,,
2025-11-25T01:00:00+00:00,2026,REG,Milwaukee Bucks,Portland Trail Blazers,HOME,103,115,27,32,26,33,21,30,29,20,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401810143/trail-blazers-bucks,,
2025-11-23T01:00:00+00:00,2026,REG,Milwaukee Bucks,Detroit Pistons,HOME,116,129,26,30,26,39,33,35,31,25,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401810127/pistons-bucks,,
2025-11-21T01:00:00+00:00,2026,REG,Milwaukee Bucks,Philadelphia 76ers,HOME,114,123,20,33,37,22,24,22,25,29,1,OPP,True,https://www.espn.com/nba/game/_/gameId/401810121/76ers-bucks,8,17
2025-11-18T00:00:00+00:00,2026,REG,Milwaukee Bucks,Cleveland Cavaliers,AWAY,106,118,33,26,24,33,31,33,18,26,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401810096/bucks-cavaliers,,
2025-11-16T01:00:00+00:00,2026,REG,Milwaukee Bucks,Los Angeles Lakers,HOME,95,119,18,30,16,35,38,27,23,27,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401810086/lakers-bucks,,
2025-11-15T01:00:00+00:00,2026,REG,Milwaukee Bucks,Charlotte Hornets,HOME,147,134,34,33,27,36,42,29,26,31,1,TEAM,True,https://www.espn.com/nba/game/_/gameId/401809785/hornets-bucks,18,5
2025-11-13T00:00:00+00:00,2026,REG,Milwaukee Bucks,Charlotte Hornets,AWAY,100,111,27,35,23,24,22,24,28,28,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401810068/bucks-hornets,,
2025-11-11T01:30:00+00:00,2026,REG,Milwaukee Bucks,Dallas Mavericks,AWAY,116,114,27,31,26,26,26,31,37,26,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401810058/bucks-mavericks,,
2025-11-09T20:30:00+00:00,2026,REG,Milwaukee Bucks,Houston Rockets,HOME,115,122,30,28,31,22,24,32,30,40,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401810046/rockets-bucks,,
2025-11-08T01:00:00+00:00,2026,REG,Milwaukee Bucks,Chicago Bulls,HOME,126,110,23,25,30,27,32,28,41,30,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401809777/bulls-bucks,,
2025-11-05T00:30:00+00:00,2026,REG,Milwaukee Bucks,Toronto Raptors,AWAY,100,128,29,39,25,34,26,32,20,23,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401810020/bucks-raptors,,
2025-11-04T00:00:00+00:00,2026,REG,Milwaukee Bucks,Indiana Pacers,AWAY,117,115,31,22,25,31,28,24,33,38,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401810012/bucks-pacers,,
2025-11-01T21:00:00+00:00,2026,REG,Milwaukee Bucks,Sacramento Kings,HOME,133,135,47,36,24,34,31,38,31,27,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401809997/kings-bucks,,
2025-10-31T00:00:00+00:00,2026,REG,Milwaukee Bucks,Golden State Warriors,HOME,120,110,34,25,26,33,27,26,33,26,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401809994/warriors-bucks,,
2025-10-29T00:00:00+00:00,2026,REG,Milwaukee Bucks,New York Knicks,HOME,121,111,27,26,32,45,35,20,27,20,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401809980/knicks-bucks,,
2025-10-26T22:00:00+00:00,2026,REG,Milwaukee Bucks,Cleveland Cavaliers,AWAY,113,118,31,29,25,36,28,21,29,32,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401809962/bucks-cavaliers,,
2025-10-24T22:30:00+00:00,2026,REG,Milwaukee Bucks,Toronto Raptors,AWAY,122,116,27,19,25,35,34,32,36,30,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401809946/bucks-raptors,,
2025-10-23T00:00:00+00:00,2026,REG,Milwaukee Bucks,Washington Wizards,HOME,133,120,40,23,32,30,29,37,32,30,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401809939/wizards-bucks,,
2025-04-29T22:00:00+00:00,2025,POST,Milwaukee Bucks,Indiana Pacers,AWAY,118,119,30,13,17,28,28,34,28,28,1,OPP,True,https://www.espn.com/nba/game/_/gameId/401768050/bucks-pacers,15,16
2025-04-28T01:30:00+00:00,2025,POST,Milwaukee Bucks,Indiana Pacers,HOME,103,129,24,30,28,33,32,38,19,28,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401768049/pacers-bucks,,
2025-04-26T00:00:00+00:00,2025,POST,Milwaukee Bucks,Indiana Pacers,HOME,117,101,26,26,21,31,39,18,31,26,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401768048/pacers-bucks,,
2025-04-22T23:00:00+00:00,2025,POST,Milwaukee Bucks,Indiana Pacers,AWAY,115,123,30,40,30,28,27,31,28,24,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401768047/bucks-pacers,,
2025-04-19T17:00:00+00:00,2025,POST,Milwaukee Bucks,Indiana Pacers,AWAY,98,117,25,33,18,34,33,26,22,24,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401767817/bucks-pacers,,
2025-04-13T17:00:00+00:00,2025,REG,Milwaukee Bucks,Detroit Pistons,HOME,140,133,43,25,28,30,27,37,25,31,1,TEAM,True,https://www.espn.com/nba/game/_/gameId/401705758/pistons-bucks,17,10
2025-04-11T23:00:00+00:00,2025,REG,Milwaukee Bucks,Detroit Pistons,AWAY,125,119,35,36,33,29,30,32,27,22,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401705737/bucks-pistons,,
2025-04-11T00:00:00+00:00,2025,REG,Milwaukee Bucks,New Orleans Pelicans,HOME,136,111,21,26,41,28,38,31,36,26,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401705727/pelicans-bucks,,
2025-04-09T00:00:00+00:00,2025,REG,Milwaukee Bucks,Minnesota Timberwolves,HOME,110,103,23,28,22,28,25,34,40,13,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401705718/timberwolves-bucks,,
2025-04-07T00:30:00+00:00,2025,REG,Milwaukee Bucks,New Orleans Pelicans,AWAY,111,107,28,31,30,22,23,25,30,29,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401754706/bucks-pelicans,,
2025-04-06T00:00:00+00:00,2025,REG,Milwaukee Bucks,Miami Heat,AWAY,121,115,22,30,35,27,24,31,30,23,1,TEAM,True,https://www.espn.com/nba/game/_/gameId/401705697/bucks-heat,10,4
