date,season,season_type,team,opponent,location,team_total,opp_total,team_q1,opp_q1,team_q2,opp_q2,team_q3,opp_q3,team_q4,opp_q4,ot_count,winner,valid_linescore,espn_url,team_ot1,team_ot2,opp_ot1,opp_ot2
2026-01-03T22:00:00+00:00,2026,REG,Minnesota Timberwolves,Miami Heat,AWAY,125,115,27,25,29,25,34,36,35,29,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401810341/timberwolves-heat,,,,
2025-12-31T20:00:00+00:00,2026,REG,Minnesota Timberwolves,Atlanta Hawks,AWAY,102,126,26,33,23,37,24,28,29,28,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401810318/timberwolves-hawks,,,,
2025-12-30T01:00:00+00:00,2026,REG,Minnesota Timberwolves,Chicago Bulls,AWAY,136,101,21,23,34,27,40,28,41,23,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401810307/timberwolves-bulls,,,,
2025-12-28T01:00:00+00:00,2026,REG,Minnesota Timberwolves,Brooklyn Nets,HOME,107,123,30,33,33,29,23,36,21,25,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401810294/nets-timberwolves,,,,
2025-12-26T03:30:00+00:00,2026,REG,Minnesota Timberwolves,Denver Nuggets,AWAY,138,142,29,32,26,25,23,35,37,23,1,OPP,True,https://www.espn.com/nba/game/_/gameId/401809242/timberwolves-nuggets,23,,27,
2025-12-24T01:00:00+00:00,2026,REG,Minnesota Timberwolves,New York Knicks,HOME,115,104,31,28,27,24,27,27,30,25,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401810271/knicks-timberwolves,,,,
2025-12-22T00:00:00+00:00,2026,REG,Minnesota Timberwolves,Milwaukee Bucks,HOME,103,100,23,29,25,31,27,15,28,25,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401810255/bucks-timberwolves,,,,
2025-12-20T02:30:00+00:00,2026,REG,Minnesota Timberwolves,Oklahoma City Thunder,HOME,112,107,23,33,25,18,35,34,29,22,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401810240/thunder-timberwolves,,,,
2025-12-18T01:00:00+00:00,2026,REG,Minnesota Timberwolves,Memphis Grizzlies,HOME,110,116,27,29,35,32,21,27,27,28,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401810223/grizzlies-timberwolves,,,,
2025-12-15T00:00:00+00:00,2026,REG,Minnesota Timberwolves,Sacramento Kings,HOME,117,103,20,27,31,25,37,32,29,19,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401836801/kings-timberwolves,,,,
