date,season,season_type,team,opponent,location,team_total,opp_total,team_q1,opp_q1,team_q2,opp_q2,team_q3,opp_q3,team_q4,opp_q4,ot_count,winner,valid_linescore,espn_url,team_ot1,team_ot2,opp_ot1,opp_ot2
2026-01-05T01:00:00+00:00,2026,REG,Oklahoma City Thunder,Phoenix Suns,AWAY,105,108,26,20,23,22,24,32,32,34,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401810354/thunder-suns,,,,
2026-01-03T03:00:00+00:00,2026,REG,Oklahoma City Thunder,Golden State Warriors,AWAY,131,94,34,23,30,22,31,21,36,28,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401810339/thunder-warriors,,,,
2026-01-01T01:00:00+00:00,2026,REG,Oklahoma City Thunder,Portland Trail Blazers,HOME,124,95,38,30,35,25,26,21,25,19,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401810325/trail-blazers-thunder,,,,
2025-12-30T01:00:00+00:00,2026,REG,Oklahoma City Thunder,Atlanta Hawks,HOME,140,129,35,38,35,36,43,29,27,26,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401810310/hawks-thunder,,,,
2025-12-28T20:30:00+00:00,2026,REG,Oklahoma City Thunder,Philadelphia 76ers,HOME,129,104,32,29,32,33,38,24,27,18,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401810297/76ers-thunder,,,,
2025-12-25T19:30:00+00:00,2026,REG,Oklahoma City Thunder,San Antonio Spurs,HOME,102,117,36,41,24,28,19,26,23,22,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401809239/spurs-thunder,,,,
2025-12-24T01:30:00+00:00,2026,REG,Oklahoma City Thunder,San Antonio Spurs,AWAY,110,130,29,31,31,27,22,29,28,43,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401810272/thunder-spurs,,,,
2025-12-23T02:30:00+00:00,2026,REG,Oklahoma City Thunder,Memphis Grizzlies,HOME,119,103,31,28,36,26,17,19,35,30,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401810261/grizzlies-thunder,,,,
2025-12-20T02:30:00+00:00,2026,REG,Oklahoma City Thunder,Minnesota Timberwolves,AWAY,107,112,33,23,18,25,34,35,22,29,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401810240/thunder-timberwolves,,,,
2025-12-19T01:00:00+00:00,2026,REG,Oklahoma City Thunder,LA Clippers,HOME,122,101,27,33,37,22,39,28,19,18,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401810224/clippers-thunder,,,,
