date,season,season_type,team,opponent,location,team_total,opp_total,team_q1,opp_q1,team_q2,opp_q2,team_q3,opp_q3,team_q4,opp_q4,ot_count,winner,valid_linescore,espn_url,team_ot1,team_ot2,opp_ot1,opp_ot2
2026-01-04T00:30:00+00:00,2026,REG,Philadelphia 76ers,New York Knicks,AWAY,130,119,31,30,35,28,33,29,31,32,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401810342/76ers-knicks,,,,
2026-01-02T01:30:00+00:00,2026,REG,Philadelphia 76ers,Dallas Mavericks,AWAY,123,108,27,33,41,24,24,26,31,25,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401810328/76ers-mavericks,,,,
2025-12-31T01:00:00+00:00,2026,REG,Philadelphia 76ers,Memphis Grizzlies,AWAY,139,136,34,40,38,32,31,28,25,28,1,TEAM,True,https://www.espn.com/nba/game/_/gameId/401810313/76ers-grizzlies,11,,8,
2025-12-28T20:30:00+00:00,2026,REG,Philadelphia 76ers,Oklahoma City Thunder,AWAY,104,129,29,32,33,32,24,38,18,27,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401810297/76ers-thunder,,,,
2025-12-27T00:30:00+00:00,2026,REG,Philadelphia 76ers,Chicago Bulls,AWAY,102,109,28,30,24,19,33,32,17,28,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401810282/76ers-bulls,,,,
2025-12-24T00:00:00+00:00,2026,REG,Philadelphia 76ers,Brooklyn Nets,HOME,106,114,27,27,30,36,20,26,29,25,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401810265/nets-76ers,,,,
2025-12-21T00:00:00+00:00,2026,REG,Philadelphia 76ers,Dallas Mavericks,HOME,121,114,38,33,30,29,23,35,30,17,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401810242/mavericks-76ers,,,,
2025-12-20T00:00:00+00:00,2026,REG,Philadelphia 76ers,New York Knicks,AWAY,116,107,29,29,28,30,31,28,28,20,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401810237/76ers-knicks,,,,
2025-12-14T23:00:00+00:00,2026,REG,Philadelphia 76ers,Atlanta Hawks,AWAY,117,120,29,39,26,20,36,35,26,26,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401836798/76ers-hawks,,,,
2025-12-13T00:00:00+00:00,2026,REG,Philadelphia 76ers,Indiana Pacers,HOME,115,105,34,31,29,27,27,32,25,15,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401836752/pacers-76ers,,,,
