date,season,season_type,team,opponent,location,team_total,opp_total,team_q1,opp_q1,team_q2,opp_q2,team_q3,opp_q3,team_q4,opp_q4,ot_count,winner,valid_linescore,espn_url,team_ot1,team_ot2,opp_ot1,opp_ot2
2026-01-03T02:00:00+00:00,2026,REG,Sacramento Kings,Phoenix Suns,AWAY,102,129,29,32,27,30,27,35,19,32,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401810338/kings-suns,,,,
2026-01-02T03:00:00+00:00,2026,REG,Sacramento Kings,Boston Celtics,HOME,106,120,29,28,32,34,27,26,18,32,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401810329/celtics-kings,,,,
2025-12-31T04:00:00+00:00,2026,REG,Sacramento Kings,LA Clippers,AWAY,90,131,20,34,20,39,31,27,19,31,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401810316/kings-clippers,,,,
2025-12-29T02:30:00+00:00,2026,REG,Sacramento Kings,Los Angeles Lakers,AWAY,101,125,24,30,29,38,27,31,21,26,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401810301/kings-lakers,,,,
2025-12-27T22:00:00+00:00,2026,REG,Sacramento Kings,Dallas Mavericks,HOME,113,107,31,23,28,21,29,33,25,30,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401810287/mavericks-kings,,,,
2025-12-24T03:00:00+00:00,2026,REG,Sacramento Kings,Detroit Pistons,HOME,127,136,24,37,34,38,39,40,30,21,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401810276/pistons-kings,,,,
2025-12-22T03:00:00+00:00,2026,REG,Sacramento Kings,Houston Rockets,HOME,125,124,30,31,27,37,25,23,30,21,1,TEAM,True,https://www.espn.com/nba/game/_/gameId/401810256/rockets-kings,13,,12,
2025-12-21T03:00:00+00:00,2026,REG,Sacramento Kings,Portland Trail Blazers,HOME,93,98,26,28,18,19,25,25,24,26,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401810249/trail-blazers-kings,,,,
2025-12-19T03:00:00+00:00,2026,REG,Sacramento Kings,Portland Trail Blazers,AWAY,133,134,40,36,20,27,23,19,32,33,1,OPP,True,https://www.espn.com/nba/game/_/gameId/401810235/kings-trail-blazers,18,,19,
2025-12-15T00:00:00+00:00,2026,REG,Sacramento Kings,Minnesota Timberwolves,AWAY,103,117,27,20,25,31,32,37,19,29,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401836801/kings-timberwolves,,,,
2025-12-12T03:00:00+00:00,2026,REG,Sacramento Kings,Denver Nuggets,HOME,105,136,26,41,28,36,27,32,24,27,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401836749/nuggets-kings,,,,
2025-12-09T00:00:00+00:00,2026,REG,Sacramento Kings,Indiana Pacers,AWAY,105,116,23,35,28,31,37,26,17,24,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401810219/kings-pacers,,,,
2025-12-07T01:00:00+00:00,2026,REG,Sacramento Kings,Miami Heat,AWAY,127,111,34,31,38,24,29,23,26,33,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401810209/kings-heat,,,,
2025-12-04T01:00:00+00:00,2026,REG,Sacramento Kings,Houston Rockets,AWAY,95,121,26,28,26,23,19,36,24,34,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401810185/kings-rockets,,,,
2025-12-01T02:00:00+00:00,2026,REG,Sacramento Kings,Memphis Grizzlies,HOME,107,115,35,31,24,31,28,21,20,32,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401810162/grizzlies-kings,,,,
2025-11-29T02:30:00+00:00,2026,REG,Sacramento Kings,Utah Jazz,AWAY,119,128,27,30,24,32,22,28,46,38,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401809819/kings-jazz,,,,
