date,season,season_type,team,opponent,location,team_total,opp_total,team_q1,opp_q1,team_q2,opp_q2,team_q3,opp_q3,team_q4,opp_q4,ot_count,winner,valid_linescore,espn_url,team_ot1,opp_ot1
2026-01-04T01:00:00+00:00,2026,REG,San Antonio Spurs,Portland Trail Blazers,HOME,110,115,24,35,27,20,29,32,30,28,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401810345/trail-blazers-spurs,,
2026-01-03T00:00:00+00:00,2026,REG,San Antonio Spurs,Indiana Pacers,AWAY,123,113,30,31,41,27,22,27,30,28,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401810331/spurs-pacers,,
2026-01-01T00:00:00+00:00,2026,REG,San Antonio Spurs,New York Knicks,HOME,134,132,36,45,27,28,30,29,41,30,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401810322/knicks-spurs,,
2025-12-30T01:00:00+00:00,2026,REG,San Antonio Spurs,Cleveland Cavaliers,HOME,101,113,26,25,29,24,23,27,23,37,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401810311/cavaliers-spurs,,
2025-12-28T01:00:00+00:00,2026,REG,San Antonio Spurs,Utah Jazz,HOME,114,127,40,32,20,38,27,28,27,29,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401810295/jazz-spurs,,
2025-12-25T19:30:00+00:00,2026,REG,San Antonio Spurs,Oklahoma City Thunder,AWAY,117,102,41,36,28,24,26,19,22,23,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401809239/spurs-thunder,,
2025-12-24T01:30:00+00:00,2026,REG,San Antonio Spurs,Oklahoma City Thunder,HOME,130,110,31,29,27,31,29,22,43,28,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401810272/thunder-spurs,,
2025-12-22T00:00:00+00:00,2026,REG,San Antonio Spurs,Washington Wizards,AWAY,124,113,26,28,43,21,29,37,26,27,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401810254/spurs-wizards,,
2025-12-20T00:30:00+00:00,2026,REG,San Antonio Spurs,Atlanta Hawks,AWAY,126,98,32,19,36,25,34,28,24,26,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401810238/spurs-hawks,,
2025-12-19T01:00:00+00:00,2026,REG,San Antonio Spurs,Washington Wizards,HOME,119,94,34,27,23,26,34,22,28,19,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401810225/wizards-spurs,,
2025-12-17T01:30:00+00:00,2026,REG,San Antonio Spurs,New York Knicks,AWAY,113,124,30,28,31,31,33,30,19,35,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401809839/spurs-knicks,,
2025-12-14T02:00:00+00:00,2026,REG,San Antonio Spurs,Oklahoma City Thunder,AWAY,111,109,20,31,26,18,32,28,33,32,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401809838/spurs-thunder,,
2025-12-11T03:00:00+00:00,2026,REG,San Antonio Spurs,Los Angeles Lakers,AWAY,132,119,39,30,31,28,34,29,28,32,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401809836/spurs-lakers,,
