date,season,season_type,team,opponent,location,team_total,opp_total,team_q1,opp_q1,team_q2,opp_q2,team_q3,opp_q3,team_q4,opp_q4,ot_count,winner,valid_linescore,espn_url,team_ot1,team_ot2,opp_ot1,opp_ot2
2026-01-04T03:00:00+00:00,2026,REG,Utah Jazz,Golden State Warriors,AWAY,114,123,29,25,36,33,31,42,18,23,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401810347/jazz-warriors,,,,
2026-01-02T03:30:00+00:00,2026,REG,Utah Jazz,LA Clippers,AWAY,101,118,17,31,33,22,31,29,20,36,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401810330/jazz-clippers,,,,
2025-12-31T02:00:00+00:00,2026,REG,Utah Jazz,Boston Celtics,HOME,119,129,38,31,26,28,32,40,23,30,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401810314/celtics-jazz,,,,
2025-12-28T01:00:00+00:00,2026,REG,Utah Jazz,San Antonio Spurs,AWAY,127,114,32,40,38,20,28,27,29,27,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401810295/jazz-spurs,,,,
2025-12-27T02:30:00+00:00,2026,REG,Utah Jazz,Detroit Pistons,HOME,131,129,33,36,34,32,44,35,20,26,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401810285/pistons-jazz,,,,
2025-12-24T02:00:00+00:00,2026,REG,Utah Jazz,Memphis Grizzlies,HOME,128,137,31,37,36,32,34,40,27,28,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401810274/grizzlies-jazz,,,,
2025-12-23T02:00:00+00:00,2026,REG,Utah Jazz,Denver Nuggets,AWAY,112,135,15,40,31,29,38,34,28,32,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401810260/jazz-nuggets,,,,
2025-12-21T02:30:00+00:00,2026,REG,Utah Jazz,Orlando Magic,HOME,127,128,38,36,22,29,22,32,36,21,1,OPP,True,https://www.espn.com/nba/game/_/gameId/401810248/magic-jazz,9,,10,
2025-12-19T02:00:00+00:00,2026,REG,Utah Jazz,Los Angeles Lakers,HOME,135,143,41,32,37,41,28,29,29,41,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401810234/lakers-jazz,,,,
2025-12-16T02:00:00+00:00,2026,REG,Utah Jazz,Dallas Mavericks,HOME,140,133,37,43,34,32,21,24,37,30,1,TEAM,True,https://www.espn.com/nba/game/_/gameId/401836805/mavericks-jazz,11,,4,
2025-12-13T01:00:00+00:00,2026,REG,Utah Jazz,Memphis Grizzlies,AWAY,130,126,36,31,25,33,42,33,27,29,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401836754/jazz-grizzlies,,,,
2025-12-08T01:00:00+00:00,2026,REG,Utah Jazz,Oklahoma City Thunder,HOME,101,131,20,45,28,29,23,32,30,25,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401810218/thunder-jazz,,,,
2025-12-06T00:30:00+00:00,2026,REG,Utah Jazz,New York Knicks,AWAY,112,146,13,41,34,27,30,47,35,31,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401810198/jazz-knicks,,,,
2025-12-05T00:30:00+00:00,2026,REG,Utah Jazz,Brooklyn Nets,AWAY,123,110,20,29,29,29,32,32,42,20,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401810190/jazz-nets,,,,
2025-12-02T02:00:00+00:00,2026,REG,Utah Jazz,Houston Rockets,HOME,133,125,31,32,37,25,30,32,35,36,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401810171/rockets-jazz,,,,
2025-11-30T20:00:00+00:00,2026,REG,Utah Jazz,Houston Rockets,HOME,101,129,21,30,27,37,20,31,33,31,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401810156/rockets-jazz,,,,
2025-11-29T02:30:00+00:00,2026,REG,Utah Jazz,Sacramento Kings,HOME,128,119,30,27,32,24,28,22,38,46,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401809819/kings-jazz,,,,
2025-11-25T03:00:00+00:00,2026,REG,Utah Jazz,Golden State Warriors,AWAY,117,134,35,26,20,41,29,39,33,28,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401810146/jazz-warriors,,,,
2025-11-24T01:00:00+00:00,2026,REG,Utah Jazz,Los Angeles Lakers,HOME,106,108,30,32,25,30,26,22,25,24,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401810137/lakers-jazz,,,,
2025-11-22T03:00:00+00:00,2026,REG,Utah Jazz,Oklahoma City Thunder,HOME,112,144,44,30,24,37,20,43,24,34,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401809797/thunder-jazz,,,,
2025-11-19T03:30:00+00:00,2026,REG,Utah Jazz,Los Angeles Lakers,AWAY,126,140,36,27,35,40,22,37,33,36,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401810108/jazz-lakers,,,,
2025-11-17T01:00:00+00:00,2026,REG,Utah Jazz,Chicago Bulls,HOME,150,147,33,33,28,37,33,28,33,29,2,TEAM,True,https://www.espn.com/nba/game/_/gameId/401810095/bulls-jazz,9,14,9,11
2025-11-14T02:00:00+00:00,2026,REG,Utah Jazz,Atlanta Hawks,HOME,122,132,33,42,34,38,36,23,19,29,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401810082/hawks-jazz,,,,
2025-11-12T02:00:00+00:00,2026,REG,Utah Jazz,Indiana Pacers,HOME,152,128,38,34,32,23,44,34,38,37,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401810066/pacers-jazz,,,,
2025-11-11T02:00:00+00:00,2026,REG,Utah Jazz,Minnesota Timberwolves,HOME,113,120,30,26,25,27,25,40,33,27,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401810060/timberwolves-jazz,,,,
2025-11-08T01:00:00+00:00,2026,REG,Utah Jazz,Minnesota Timberwolves,AWAY,97,137,15,43,30,36,22,25,30,33,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401809778/jazz-timberwolves,,,,
2025-11-06T00:00:00+00:00,2026,REG,Utah Jazz,Detroit Pistons,AWAY,103,114,30,28,25,25,14,25,34,36,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401810027/jazz-pistons,,,,
2025-11-04T00:30:00+00:00,2026,REG,Utah Jazz,Boston Celtics,AWAY,105,103,21,25,15,21,38,26,31,31,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401810013/jazz-celtics,,,,
2025-11-02T23:00:00+00:00,2026,REG,Utah Jazz,Charlotte Hornets,AWAY,103,126,25,39,23,32,38,33,17,22,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401810005/jazz-hornets,,,,
2025-11-01T02:00:00+00:00,2026,REG,Utah Jazz,Phoenix Suns,AWAY,96,118,17,37,23,17,27,29,29,35,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401809507/jazz-suns,,,,
