date,season,season_type,team,opponent,location,team_total,opp_total,team_q1,opp_q1,team_q2,opp_q2,team_q3,opp_q3,team_q4,opp_q4,ot_count,winner,valid_linescore,espn_url,team_ot1,opp_ot1
2026-01-03T00:00:00+00:00,2026,REG,Washington Wizards,Brooklyn Nets,HOME,119,99,37,24,27,26,32,23,23,26,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401810332/nets-wizards,,
2026-01-01T01:00:00+00:00,2026,REG,Washington Wizards,Milwaukee Bucks,AWAY,114,113,30,32,35,30,21,26,28,25,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401810324/wizards-bucks,,
2025-12-30T00:00:00+00:00,2026,REG,Washington Wizards,Phoenix Suns,HOME,101,115,23,22,31,39,25,26,22,28,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401810303/suns-wizards,,
2025-12-28T23:00:00+00:00,2026,REG,Washington Wizards,Memphis Grizzlies,HOME,116,112,25,27,35,32,24,29,32,24,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401810298/grizzlies-wizards,,
2025-12-27T00:00:00+00:00,2026,REG,Washington Wizards,Toronto Raptors,HOME,138,117,35,32,38,30,29,38,36,17,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401810280/raptors-wizards,,
2025-12-24T00:00:00+00:00,2026,REG,Washington Wizards,Charlotte Hornets,AWAY,109,126,31,24,34,38,25,30,19,34,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401810264/wizards-hornets,,
2025-12-22T00:00:00+00:00,2026,REG,Washington Wizards,San Antonio Spurs,HOME,113,124,28,26,21,43,37,29,27,26,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401810254/spurs-wizards,,
2025-12-21T01:00:00+00:00,2026,REG,Washington Wizards,Memphis Grizzlies,AWAY,130,122,25,30,28,38,42,27,35,27,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401810246/wizards-grizzlies,,
2025-12-19T01:00:00+00:00,2026,REG,Washington Wizards,San Antonio Spurs,AWAY,94,119,27,34,26,23,22,34,19,28,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401810225/wizards-spurs,,
2025-12-14T20:00:00+00:00,2026,REG,Washington Wizards,Indiana Pacers,AWAY,108,89,31,32,27,15,23,19,27,23,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401836797/wizards-pacers,,
