mercado,status_final,nivel,n_resueltas,lineas_cubiertas,brier,log_loss,ece,resolved_rate,fallback_rate,window_drift_brier,motivos
CORNERS_1T,BLOQUEADO,NO_APTO,4,4,0.0004,0.020202707317519466,0.02,1.0,0.0,0.0,volumen_o_resolucion_critica
CORNERS_2T,BLOQUEADO,NO_APTO,4,4,0.0005002225,0.022329071522325536,0.022075,1.0,0.0,0.0,volumen_o_resolucion_critica
CORNERS_FT,BLOQUEADO,NO_APTO,4,4,0.12443139750000001,0.42695426282392324,0.341375,1.0,0.0,0.0,volumen_o_resolucion_critica
CORNERS_LOCAL_1T,BLOQUEADO,NO_APTO,4,4,0.0004,0.020202707317519466,0.02,1.0,0.0,0.0,volumen_o_resolucion_critica
CORNERS_LOCAL_2T,BLOQUEADO,NO_APTO,4,4,0.0004,0.020202707317519466,0.02,1.0,0.0,0.0,volumen_o_resolucion_critica
CORNERS_LOCAL_FT,BLOQUEADO,NO_APTO,4,4,0.0004,0.020202707317519466,0.02,1.0,0.0,0.0,volumen_o_resolucion_critica
CORNERS_VISITANTE_1T,BLOQUEADO,NO_APTO,4,4,0.0004,0.020202707317519466,0.02,1.0,0.0,0.0,volumen_o_resolucion_critica
CORNERS_VISITANTE_2T,BLOQUEADO,NO_APTO,4,4,0.0004,0.020202707317519466,0.02,1.0,0.0,0.0,volumen_o_resolucion_critica
CORNERS_VISITANTE_FT,BLOQUEADO,NO_APTO,4,4,0.0004,0.020202707317519466,0.02,1.0,0.0,0.0,volumen_o_resolucion_critica
DISPAROS_ARCO_FT,BLOQUEADO,NO_APTO,3,3,0.00160803,0.04092617746635512,0.040100000000000004,1.0,0.0,0.0,volumen_o_resolucion_critica
DISPAROS_FT,BLOQUEADO,NO_APTO,3,3,0.11990241666666666,0.41888678228581555,0.3377666666666666,1.0,0.0,0.0,volumen_o_resolucion_critica
DISPAROS_LOCAL_ARCO_FT,BLOQUEADO,NO_APTO,3,3,0.0016,0.040821994520255166,0.04,1.0,0.0,0.0,volumen_o_resolucion_critica
DISPAROS_LOCAL_FT,BLOQUEADO,NO_APTO,3,3,0.0024928433333333334,0.05045838102737236,0.049166666666666664,1.0,0.0,0.0,volumen_o_resolucion_critica
DISPAROS_VISITANTE_ARCO_FT,BLOQUEADO,NO_APTO,3,3,0.0016,0.040821994520255166,0.04,1.0,0.0,0.0,volumen_o_resolucion_critica
DISPAROS_VISITANTE_FT,BLOQUEADO,NO_APTO,3,3,0.00175666,0.04277042629571768,0.04186666666666666,1.0,0.0,0.0,volumen_o_resolucion_critica
GOLES_1T,BLOQUEADO,NO_APTO,3,3,0.43192749999999996,1.2930648514396597,0.5203333333333333,1.0,0.0,0.0,volumen_o_resolucion_critica
GOLES_2T,BLOQUEADO,NO_APTO,3,3,0.57482297,1.9802474710204832,0.7112999999999999,1.0,0.0,0.0,volumen_o_resolucion_critica
GOLES_FT,BLOQUEADO,NO_APTO,3,3,0.18548647333333335,0.5297304915029927,0.3642666666666666,1.0,0.0,0.0,volumen_o_resolucion_critica
GOLES_LOCAL_1T,BLOQUEADO,NO_APTO,3,3,0.0020772300000000002,0.038987512452398045,0.037899999999999996,1.0,0.0,0.0,volumen_o_resolucion_critica
GOLES_LOCAL_2T,BLOQUEADO,NO_APTO,3,3,0.8625451866666666,3.173377243338688,0.9255333333333333,1.0,0.0,0.0,volumen_o_resolucion_critica
GOLES_LOCAL_FT,BLOQUEADO,NO_APTO,3,3,0.65085628,2.2468829626648876,0.7707333333333333,1.0,0.0,0.0,volumen_o_resolucion_critica
GOLES_VISITANTE_1T,BLOQUEADO,NO_APTO,3,3,0.29750083,0.9760601822279793,0.30143333333333333,1.0,0.0,0.0,volumen_o_resolucion_critica
GOLES_VISITANTE_2T,BLOQUEADO,NO_APTO,3,3,0.006057079999999999,0.060579530250560946,0.05726666666666666,1.0,0.0,0.0,volumen_o_resolucion_critica
GOLES_VISITANTE_FT,BLOQUEADO,NO_APTO,3,3,0.10446082666666667,0.2982240560381949,0.21213333333333334,1.0,0.0,0.0,volumen_o_resolucion_critica
