date,season,season_type,team,opponent,location,team_total,opp_total,team_q1,opp_q1,team_q2,opp_q2,team_q3,opp_q3,team_q4,opp_q4,ot_count,winner,valid_linescore,espn_url,team_ot1,team_ot2,opp_ot1,opp_ot2
2025-04-13T17:00:00+00:00,2025,REG,Brooklyn Nets,New York Knicks,HOME,105,113,37,38,29,24,17,27,22,24,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401705754/knicks-nets,,,,
2025-04-12T01:00:00+00:00,2025,REG,Brooklyn Nets,Minnesota Timberwolves,AWAY,91,117,16,28,36,36,21,34,18,19,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401705745/nets-timberwolves,,,,
2025-04-10T23:30:00+00:00,2025,REG,Brooklyn Nets,Atlanta Hawks,HOME,109,133,14,33,31,36,29,34,35,30,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401705735/hawks-nets,,,,
2025-04-08T23:30:00+00:00,2025,REG,Brooklyn Nets,New Orleans Pelicans,HOME,119,114,26,24,28,29,43,26,22,35,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401705716/pelicans-nets,,,,
2025-04-06T19:30:00+00:00,2025,REG,Brooklyn Nets,Toronto Raptors,HOME,109,120,23,28,23,33,26,21,37,38,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401705700/raptors-nets,,,,
2025-04-03T23:30:00+00:00,2025,REG,Brooklyn Nets,Minnesota Timberwolves,HOME,90,105,19,20,18,29,30,28,23,28,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401705679/timberwolves-nets,,,,
2025-04-01T00:30:00+00:00,2025,REG,Brooklyn Nets,Dallas Mavericks,AWAY,113,109,25,29,33,34,26,24,29,22,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401705661/nets-mavericks,,,,
2025-03-29T23:00:00+00:00,2025,REG,Brooklyn Nets,Washington Wizards,AWAY,115,112,23,28,28,31,31,26,33,27,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401705641/nets-wizards,,,,
2025-03-28T23:30:00+00:00,2025,REG,Brooklyn Nets,LA Clippers,HOME,100,132,27,26,21,42,21,37,31,27,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401705634/clippers-nets,,,,
2025-03-26T23:30:00+00:00,2025,REG,Brooklyn Nets,Toronto Raptors,HOME,86,116,18,32,27,30,23,31,18,23,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401705620/raptors-nets,,,,
2025-03-24T23:30:00+00:00,2025,REG,Brooklyn Nets,Dallas Mavericks,HOME,101,120,17,32,31,30,29,34,24,24,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401705606/mavericks-nets,,,,
2025-03-22T21:00:00+00:00,2025,REG,Brooklyn Nets,Indiana Pacers,AWAY,103,108,25,28,27,33,18,29,33,18,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401705590/nets-pacers,,,,
2025-03-20T23:00:00+00:00,2025,REG,Brooklyn Nets,Indiana Pacers,AWAY,99,105,28,23,24,19,19,25,20,24,1,OPP,True,https://www.espn.com/nba/game/_/gameId/401705577/nets-pacers,8,,14,
2025-03-18T23:30:00+00:00,2025,REG,Brooklyn Nets,Boston Celtics,AWAY,96,104,26,21,23,23,21,27,26,33,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401705560/nets-celtics,,,,
2025-03-16T22:00:00+00:00,2025,REG,Brooklyn Nets,Atlanta Hawks,HOME,122,114,33,27,23,35,35,30,31,22,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401705544/hawks-nets,,,,
2025-03-15T22:00:00+00:00,2025,REG,Brooklyn Nets,Boston Celtics,HOME,113,115,27,30,24,33,30,23,32,29,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401705534/celtics-nets,,,,
2025-03-14T00:00:00+00:00,2025,REG,Brooklyn Nets,Chicago Bulls,AWAY,110,116,30,31,35,31,27,20,18,34,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401705522/nets-bulls,,,,
2025-03-11T23:00:00+00:00,2025,REG,Brooklyn Nets,Cleveland Cavaliers,AWAY,104,109,29,26,34,24,23,28,18,31,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401705506/nets-cavaliers,,,,
2025-03-10T23:30:00+00:00,2025,REG,Brooklyn Nets,Los Angeles Lakers,HOME,111,108,16,28,32,19,33,32,30,29,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401705496/lakers-nets,,,,
2025-03-08T23:00:00+00:00,2025,REG,Brooklyn Nets,Charlotte Hornets,AWAY,102,105,28,26,30,17,24,33,20,29,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401705478/nets-hornets,,,,
