date,season,season_type,team,opponent,location,team_total,opp_total,team_q1,opp_q1,team_q2,opp_q2,team_q3,opp_q3,team_q4,opp_q4,ot_count,winner,valid_linescore,espn_url,team_ot1,team_ot2,opp_ot1,opp_ot2
2025-04-13T19:30:00+00:00,2025,REG,Dallas Mavericks,Memphis Grizzlies,AWAY,97,132,28,38,26,29,21,37,22,28,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401705760/mavericks-grizzlies,,,,
2025-04-12T00:30:00+00:00,2025,REG,Dallas Mavericks,Toronto Raptors,HOME,124,102,35,25,31,13,30,29,28,35,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401705744/raptors-mavericks,,,,
2025-04-09T23:30:00+00:00,2025,REG,Dallas Mavericks,Los Angeles Lakers,HOME,97,112,30,26,27,34,19,23,21,29,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401705725/lakers-mavericks,,,,
2025-04-06T02:30:00+00:00,2025,REG,Dallas Mavericks,LA Clippers,AWAY,104,135,21,33,31,28,30,44,22,30,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401705698/mavericks-clippers,,,,
2025-04-05T02:30:00+00:00,2025,REG,Dallas Mavericks,LA Clippers,AWAY,91,114,16,29,19,29,25,23,31,33,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401705693/mavericks-clippers,,,,
2025-04-03T00:30:00+00:00,2025,REG,Dallas Mavericks,Atlanta Hawks,HOME,120,118,32,34,35,38,34,24,19,22,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401705675/hawks-mavericks,,,,
2025-04-01T00:30:00+00:00,2025,REG,Dallas Mavericks,Brooklyn Nets,HOME,109,113,29,25,34,33,24,26,22,29,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401705661/nets-mavericks,,,,
2025-03-30T00:00:00+00:00,2025,REG,Dallas Mavericks,Chicago Bulls,AWAY,120,119,30,34,28,21,31,32,31,32,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401705643/mavericks-bulls,,,,
2025-03-27T23:00:00+00:00,2025,REG,Dallas Mavericks,Orlando Magic,AWAY,101,92,19,17,24,33,34,20,24,22,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401705626/mavericks-magic,,,,
2025-03-25T23:30:00+00:00,2025,REG,Dallas Mavericks,New York Knicks,AWAY,113,128,35,37,33,31,16,30,29,30,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401705614/mavericks-knicks,,,,
2025-03-24T23:30:00+00:00,2025,REG,Dallas Mavericks,Brooklyn Nets,AWAY,120,101,32,17,30,31,34,29,24,24,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401705606/mavericks-nets,,,,
2025-03-22T00:30:00+00:00,2025,REG,Dallas Mavericks,Detroit Pistons,HOME,123,117,35,27,25,27,31,29,32,34,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401705585/pistons-mavericks,,,,
2025-03-19T23:00:00+00:00,2025,REG,Dallas Mavericks,Indiana Pacers,AWAY,131,135,21,33,36,35,34,22,40,45,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401705564/mavericks-pacers,,,,
2025-03-16T17:00:00+00:00,2025,REG,Dallas Mavericks,Philadelphia 76ers,HOME,125,130,32,36,36,28,18,34,39,32,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401705542/76ers-mavericks,,,,
2025-03-15T00:00:00+00:00,2025,REG,Dallas Mavericks,Houston Rockets,AWAY,96,133,25,27,24,35,21,37,26,34,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401705527/mavericks-rockets,,,,
2025-03-13T00:00:00+00:00,2025,REG,Dallas Mavericks,San Antonio Spurs,AWAY,116,126,28,20,34,44,25,33,29,29,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401705517/mavericks-spurs,,,,
2025-03-11T00:30:00+00:00,2025,REG,Dallas Mavericks,San Antonio Spurs,AWAY,133,129,28,34,32,29,41,38,32,28,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401705503/mavericks-spurs,,,,
2025-03-09T19:30:00+00:00,2025,REG,Dallas Mavericks,Phoenix Suns,HOME,116,125,24,32,30,28,32,37,30,28,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401705487/suns-mavericks,,,,
2025-03-08T00:30:00+00:00,2025,REG,Dallas Mavericks,Memphis Grizzlies,HOME,111,122,31,22,22,28,41,39,17,33,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401705472/grizzlies-mavericks,,,,
