abreviatura,nombre,nombre_corto,conferencia,division,ciudad
ATL,Atlanta Hawks,Hawks,Este,Sureste,Atlanta
BOS,Boston Celtics,Celtics,Este,Atlántico,Boston
BKN,Brooklyn Nets,Nets,Este,Atlántico,Brooklyn
CHA,Charlotte Hornets,Hornets,Este,Sureste,Charlotte
CHI,Chicago Bulls,Bulls,Este,Central,Chicago
CLE,Cleveland Cavaliers,Cavaliers,Este,Central,Cleveland
DAL,Dallas Mavericks,Mavericks,Oeste,Suroeste,Dallas
DEN,Denver Nuggets,Nuggets,Oeste,Noroeste,Denver
DET,Detroit Pistons,Pistons,Este,Central,Detroit
GSW,Golden State Warriors,Warriors,Oeste,Pacífico,Golden State
HOU,Houston Rockets,Rockets,Oeste,Suroeste,Houston
IND,Indiana Pacers,Pacers,Este,Central,Indiana
LAC,Los Angeles Clippers,Clippers,Oeste,Pacífico,Los Angeles
LAL,Los Angeles Lakers,Lakers,Oeste,Pacífico,Los Angeles
MEM,Memphis Grizzlies,Grizzlies,Oeste,Suroeste,Memphis
MIA,Miami Heat,Heat,Este,Sureste,Miami
MIL,Milwaukee Bucks,Bucks,Este,Central,Milwaukee
MIN,Minnesota Timberwolves,Timberwolves,Oeste,Noroeste,Minnesota
NOP,New Orleans Pelicans,Pelicans,Oeste,Suroeste,New Orleans
NYK,New York Knicks,Knicks,Este,Atlántico,New York
OKC,Oklahoma City Thunder,Thunder,Oeste,Noroeste,Oklahoma City
ORL,Orlando Magic,Magic,Este,Sureste,Orlando
PHI,Philadelphia 76ers,76ers,Este,Atlántico,Philadelphia
PHX,Phoenix Suns,Suns,Oeste,Pacífico,Phoenix
POR,Portland Trail Blazers,Trail Blazers,Oeste,Noroeste,Portland
SAC,Sacramento Kings,Kings,Oeste,Pacífico,Sacramento
SAS,San Antonio Spurs,Spurs,Oeste,Suroeste,San Antonio
TOR,Toronto Raptors,Raptors,Este,Atlántico,Toronto
UTA,Utah Jazz,Jazz,Oeste,Noroeste,Utah
WAS,Washington Wizards,Wizards,Este,Sureste,Washington
