date,season,season_type,team,opponent,location,team_total,opp_total,team_q1,opp_q1,team_q2,opp_q2,team_q3,opp_q3,team_q4,opp_q4,ot_count,winner,valid_linescore,espn_url,team_ot1,team_ot2,team_ot3,opp_ot1,opp_ot2,opp_ot3
2025-05-01T02:00:00+00:00,2025,POST,Los Angeles Lakers,Minnesota Timberwolves,HOME,96,103,22,31,27,28,31,22,16,22,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401768058/timberwolves-lakers,,,,,,
2025-04-27T19:50:00+00:00,2025,POST,Los Angeles Lakers,Minnesota Timberwolves,AWAY,113,116,32,28,26,33,36,23,19,32,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401768057/lakers-timberwolves,,,,,,
2025-04-26T01:53:00+00:00,2025,POST,Los Angeles Lakers,Minnesota Timberwolves,AWAY,104,116,26,32,32,22,26,32,20,30,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401768056/lakers-timberwolves,,,,,,
2025-04-23T02:00:00+00:00,2025,POST,Los Angeles Lakers,Minnesota Timberwolves,HOME,94,85,34,15,24,28,23,22,13,20,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401767915/timberwolves-lakers,,,,,,
2025-04-20T00:30:00+00:00,2025,POST,Los Angeles Lakers,Minnesota Timberwolves,HOME,95,117,28,21,20,38,30,35,17,23,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401767821/timberwolves-lakers,,,,,,
2025-04-13T19:30:00+00:00,2025,REG,Los Angeles Lakers,Portland Trail Blazers,AWAY,81,109,25,29,18,29,18,31,20,20,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401705765/lakers-trail-blazers,,,,,,
2025-04-12T02:30:00+00:00,2025,REG,Los Angeles Lakers,Houston Rockets,HOME,140,109,38,32,40,24,29,31,33,22,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401705751/rockets-lakers,,,,,,
2025-04-09T23:30:00+00:00,2025,REG,Los Angeles Lakers,Dallas Mavericks,AWAY,112,97,26,30,34,27,23,19,29,21,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401705725/lakers-mavericks,,,,,,
2025-04-09T00:00:00+00:00,2025,REG,Los Angeles Lakers,Oklahoma City Thunder,AWAY,120,136,43,43,29,37,26,17,22,39,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401705719/lakers-thunder,,,,,,
2025-04-06T19:30:00+00:00,2025,REG,Los Angeles Lakers,Oklahoma City Thunder,AWAY,126,99,42,32,36,24,25,21,23,22,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401705701/lakers-thunder,,,,,,
2025-04-05T02:30:00+00:00,2025,REG,Los Angeles Lakers,New Orleans Pelicans,HOME,124,108,25,30,37,23,31,31,31,24,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401705692/pelicans-lakers,,,,,,
2025-04-04T02:00:00+00:00,2025,REG,Los Angeles Lakers,Golden State Warriors,HOME,116,123,22,26,25,34,30,28,39,35,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401705683/warriors-lakers,,,,,,
2025-04-01T02:00:00+00:00,2025,REG,Los Angeles Lakers,Houston Rockets,HOME,104,98,16,19,32,29,34,29,22,21,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401705662/rockets-lakers,,,,,,
2025-03-30T00:00:00+00:00,2025,REG,Los Angeles Lakers,Memphis Grizzlies,AWAY,134,127,39,28,33,33,30,38,32,28,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401705644/lakers-grizzlies,,,,,,
2025-03-28T00:00:00+00:00,2025,REG,Los Angeles Lakers,Chicago Bulls,AWAY,117,119,22,32,37,26,32,17,26,44,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401705629/lakers-bulls,,,,,,
2025-03-26T23:30:00+00:00,2025,REG,Los Angeles Lakers,Indiana Pacers,AWAY,120,119,28,33,40,22,27,37,25,27,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401705621/lakers-pacers,,,,,,
2025-03-24T23:00:00+00:00,2025,REG,Los Angeles Lakers,Orlando Magic,AWAY,106,118,30,26,30,32,18,34,28,26,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401705604/lakers-magic,,,,,,
2025-03-23T02:30:00+00:00,2025,REG,Los Angeles Lakers,Chicago Bulls,HOME,115,146,31,32,31,33,27,39,26,42,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401705594/bulls-lakers,,,,,,
2025-03-21T02:30:00+00:00,2025,REG,Los Angeles Lakers,Milwaukee Bucks,HOME,89,118,19,34,27,23,23,34,20,27,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401705562/bucks-lakers,,,,,,
2025-03-20T02:00:00+00:00,2025,REG,Los Angeles Lakers,Denver Nuggets,HOME,120,108,46,29,27,30,32,18,15,31,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401705572/nuggets-lakers,,,,,,
2025-03-18T02:30:00+00:00,2025,REG,Los Angeles Lakers,San Antonio Spurs,HOME,125,109,32,22,33,29,29,24,31,34,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401754705/spurs-lakers,,,,,,
2025-03-16T19:30:00+00:00,2025,REG,Los Angeles Lakers,Phoenix Suns,HOME,107,96,31,15,23,22,29,34,24,25,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401705543/suns-lakers,,,,,,
