date,season,season_type,team,opponent,location,team_total,opp_total,team_q1,opp_q1,team_q2,opp_q2,team_q3,opp_q3,team_q4,opp_q4,ot_count,winner,valid_linescore,espn_url,team_ot1,team_ot2,opp_ot1,opp_ot2
2025-04-29T22:00:00+00:00,2025,POST,Milwaukee Bucks,Indiana Pacers,AWAY,118,119,30,13,17,28,28,34,28,28,1,OPP,True,https://www.espn.com/nba/game/_/gameId/401768050/bucks-pacers,15,,16,
2025-04-28T01:30:00+00:00,2025,POST,Milwaukee Bucks,Indiana Pacers,HOME,103,129,24,30,28,33,32,38,19,28,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401768049/pacers-bucks,,,,
2025-04-26T00:00:00+00:00,2025,POST,Milwaukee Bucks,Indiana Pacers,HOME,117,101,26,26,21,31,39,18,31,26,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401768048/pacers-bucks,,,,
2025-04-22T23:00:00+00:00,2025,POST,Milwaukee Bucks,Indiana Pacers,AWAY,115,123,30,40,30,28,27,31,28,24,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401768047/bucks-pacers,,,,
2025-04-19T17:00:00+00:00,2025,POST,Milwaukee Bucks,Indiana Pacers,AWAY,98,117,25,33,18,34,33,26,22,24,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401767817/bucks-pacers,,,,
2025-04-13T17:00:00+00:00,2025,REG,Milwaukee Bucks,Detroit Pistons,HOME,140,133,43,25,28,30,27,37,25,31,1,TEAM,True,https://www.espn.com/nba/game/_/gameId/401705758/pistons-bucks,17,,10,
2025-04-11T23:00:00+00:00,2025,REG,Milwaukee Bucks,Detroit Pistons,AWAY,125,119,35,36,33,29,30,32,27,22,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401705737/bucks-pistons,,,,
2025-04-11T00:00:00+00:00,2025,REG,Milwaukee Bucks,New Orleans Pelicans,HOME,136,111,21,26,41,28,38,31,36,26,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401705727/pelicans-bucks,,,,
2025-04-09T00:00:00+00:00,2025,REG,Milwaukee Bucks,Minnesota Timberwolves,HOME,110,103,23,28,22,28,25,34,40,13,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401705718/timberwolves-bucks,,,,
2025-04-07T00:30:00+00:00,2025,REG,Milwaukee Bucks,New Orleans Pelicans,AWAY,111,107,28,31,30,22,23,25,30,29,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401754706/bucks-pelicans,,,,
2025-04-06T00:00:00+00:00,2025,REG,Milwaukee Bucks,Miami Heat,AWAY,121,115,22,30,35,27,24,31,30,23,1,TEAM,True,https://www.espn.com/nba/game/_/gameId/401705697/bucks-heat,10,,4,
2025-04-03T23:00:00+00:00,2025,REG,Milwaukee Bucks,Philadelphia 76ers,AWAY,126,113,25,39,36,20,35,28,30,26,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401705681/bucks-76ers,,,,
2025-04-01T23:30:00+00:00,2025,REG,Milwaukee Bucks,Phoenix Suns,HOME,133,123,31,19,29,38,35,26,38,40,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401705667/suns-bucks,,,,
2025-03-30T23:00:00+00:00,2025,REG,Milwaukee Bucks,Atlanta Hawks,HOME,124,145,44,37,31,45,17,36,32,27,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401705649/hawks-bucks,,,,
2025-03-29T00:00:00+00:00,2025,REG,Milwaukee Bucks,New York Knicks,HOME,107,116,19,25,30,35,24,21,34,35,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401705636/knicks-bucks,,,,
2025-03-27T01:00:00+00:00,2025,REG,Milwaukee Bucks,Denver Nuggets,AWAY,117,127,27,38,37,29,28,33,25,27,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401705623/bucks-nuggets,,,,
2025-03-25T02:00:00+00:00,2025,REG,Milwaukee Bucks,Phoenix Suns,AWAY,106,108,30,25,28,29,20,27,28,27,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401705609/bucks-suns,,,,
2025-03-23T02:00:00+00:00,2025,REG,Milwaukee Bucks,Sacramento Kings,AWAY,114,108,17,25,32,36,37,28,28,19,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401705593/bucks-kings,,,,
2025-03-21T02:30:00+00:00,2025,REG,Milwaukee Bucks,Los Angeles Lakers,AWAY,118,89,34,19,23,27,34,23,27,20,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401705562/bucks-lakers,,,,
2025-03-19T02:00:00+00:00,2025,REG,Milwaukee Bucks,Golden State Warriors,AWAY,93,104,27,32,17,26,32,20,17,26,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401705578/bucks-warriors,,,,
2025-03-17T01:00:00+00:00,2025,REG,Milwaukee Bucks,Oklahoma City Thunder,HOME,105,121,26,24,15,29,33,39,31,29,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401705548/thunder-bucks,,,,
2025-03-16T00:00:00+00:00,2025,REG,Milwaukee Bucks,Indiana Pacers,HOME,126,119,38,30,27,30,35,22,26,37,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401705538/pacers-bucks,,,,
2025-03-13T23:30:00+00:00,2025,REG,Milwaukee Bucks,Los Angeles Lakers,HOME,126,106,33,29,38,34,31,19,24,24,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401705521/lakers-bucks,,,,
2025-03-11T23:30:00+00:00,2025,REG,Milwaukee Bucks,Indiana Pacers,AWAY,114,115,28,32,27,25,33,31,26,27,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401705508/bucks-pacers,,,,
2025-03-10T00:00:00+00:00,2025,REG,Milwaukee Bucks,Cleveland Cavaliers,HOME,100,112,32,34,20,28,25,22,23,28,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401705488/cavaliers-bucks,,,,
2025-03-09T01:00:00+00:00,2025,REG,Milwaukee Bucks,Orlando Magic,HOME,109,111,20,34,27,26,29,30,33,21,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401705483/magic-bucks,,,,
2025-03-06T01:00:00+00:00,2025,REG,Milwaukee Bucks,Dallas Mavericks,HOME,137,107,43,30,29,23,34,26,31,28,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401705463/mavericks-bucks,,,,
2025-03-05T00:30:00+00:00,2025,REG,Milwaukee Bucks,Atlanta Hawks,AWAY,127,121,37,33,29,33,26,29,35,26,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401705450/bucks-hawks,,,,
2025-03-02T01:30:00+00:00,2025,REG,Milwaukee Bucks,Dallas Mavericks,AWAY,132,117,31,36,40,27,30,16,31,38,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401705431/bucks-mavericks,,,,
2025-02-28T01:00:00+00:00,2025,REG,Milwaukee Bucks,Denver Nuggets,HOME,121,112,30,30,24,27,30,24,37,31,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401705412/nuggets-bucks,,,,
2025-02-26T01:00:00+00:00,2025,REG,Milwaukee Bucks,Houston Rockets,AWAY,97,100,25,30,34,27,26,28,12,15,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401705397/bucks-rockets,,,,
2025-02-23T23:00:00+00:00,2025,REG,Milwaukee Bucks,Miami Heat,HOME,120,113,23,37,32,28,30,28,35,20,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401705383/heat-bucks,,,,
2025-02-22T00:00:00+00:00,2025,REG,Milwaukee Bucks,Washington Wizards,AWAY,104,101,19,32,31,24,34,19,20,26,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401705365/bucks-wizards,,,,
2025-02-21T01:00:00+00:00,2025,REG,Milwaukee Bucks,LA Clippers,HOME,116,110,28,29,29,21,23,39,36,21,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401705359/clippers-bucks,,,,
2025-02-13T01:00:00+00:00,2025,REG,Milwaukee Bucks,Minnesota Timberwolves,AWAY,103,101,36,24,15,26,19,19,33,32,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401705342/bucks-timberwolves,,,,
2025-02-11T01:00:00+00:00,2025,REG,Milwaukee Bucks,Golden State Warriors,HOME,111,125,27,29,24,29,32,31,28,36,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401705326/warriors-bucks,,,,
2025-02-09T19:00:00+00:00,2025,REG,Milwaukee Bucks,Philadelphia 76ers,HOME,135,127,40,39,25,24,38,28,32,36,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401705320/76ers-bucks,,,,
2025-02-08T00:30:00+00:00,2025,REG,Milwaukee Bucks,Atlanta Hawks,AWAY,110,115,26,36,47,19,17,37,20,23,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401705302/bucks-hawks,,,,
2025-02-06T00:00:00+00:00,2025,REG,Milwaukee Bucks,Charlotte Hornets,AWAY,112,102,38,26,28,30,20,21,26,25,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401705283/bucks-hornets,,,,
2025-02-04T01:00:00+00:00,2025,REG,Milwaukee Bucks,Oklahoma City Thunder,AWAY,96,125,22,39,22,39,31,38,21,9,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401705271/bucks-thunder,,,,
2025-02-03T01:30:00+00:00,2025,REG,Milwaukee Bucks,Memphis Grizzlies,HOME,119,132,28,31,30,25,41,37,20,39,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401705265/grizzlies-bucks,,,,
2025-02-01T01:00:00+00:00,2025,REG,Milwaukee Bucks,San Antonio Spurs,AWAY,118,144,35,35,36,35,30,45,17,29,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401705250/bucks-spurs,,,,
2025-01-29T03:00:00+00:00,2025,REG,Milwaukee Bucks,Portland Trail Blazers,AWAY,112,125,36,31,25,33,28,33,23,28,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401705228/bucks-trail-blazers,,,,
2025-01-28T02:00:00+00:00,2025,REG,Milwaukee Bucks,Utah Jazz,AWAY,125,110,35,26,33,33,32,21,25,30,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401705224/bucks-jazz,,,,
2025-01-26T03:30:00+00:00,2025,REG,Milwaukee Bucks,LA Clippers,AWAY,117,127,28,28,31,30,34,36,24,33,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401705212/bucks-clippers,,,,
2025-01-24T01:30:00+00:00,2025,REG,Milwaukee Bucks,Miami Heat,HOME,125,96,27,30,44,25,23,19,31,22,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401705190/heat-bucks,,,,
2025-01-23T01:00:00+00:00,2025,REG,Milwaukee Bucks,New Orleans Pelicans,AWAY,0,0,0,0,0,0,0,0,0,0,0,TIE,True,https://www.espn.com/nba/game/_/gameId/401705183/bucks-pelicans,,,,
2025-01-20T00:00:00+00:00,2025,REG,Milwaukee Bucks,Philadelphia 76ers,HOME,123,109,30,21,29,29,31,31,33,28,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401705160/76ers-bucks,,,,
2025-01-18T01:00:00+00:00,2025,REG,Milwaukee Bucks,Toronto Raptors,HOME,130,112,37,22,35,35,35,34,23,21,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401705146/raptors-bucks,,,,
2025-01-16T01:00:00+00:00,2025,REG,Milwaukee Bucks,Orlando Magic,HOME,122,93,34,16,28,25,30,27,30,25,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401705130/magic-bucks,,,,
2025-01-15T01:00:00+00:00,2025,REG,Milwaukee Bucks,Sacramento Kings,HOME,130,115,47,26,28,28,27,28,28,33,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401705124/kings-bucks,,,,
2025-01-12T20:00:00+00:00,2025,REG,Milwaukee Bucks,New York Knicks,AWAY,106,140,33,36,29,39,27,33,17,32,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401705105/bucks-knicks,,,,
2025-01-11T00:00:00+00:00,2025,REG,Milwaukee Bucks,Orlando Magic,AWAY,109,106,29,31,21,20,28,30,31,25,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401705092/bucks-magic,,,,
2025-01-09T02:30:00+00:00,2025,REG,Milwaukee Bucks,San Antonio Spurs,HOME,121,105,31,27,34,19,26,32,30,27,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401705082/spurs-bucks,,,,
2025-01-07T00:30:00+00:00,2025,REG,Milwaukee Bucks,Toronto Raptors,AWAY,128,104,28,19,38,28,33,28,29,29,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401705063/bucks-raptors,,,,
2025-01-05T01:00:00+00:00,2025,REG,Milwaukee Bucks,Portland Trail Blazers,HOME,102,105,31,28,20,26,25,21,26,30,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401705049/trail-blazers-bucks,,,,
2025-01-03T01:00:00+00:00,2025,REG,Milwaukee Bucks,Brooklyn Nets,HOME,110,113,23,30,31,36,31,28,25,19,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401705031/nets-bucks,,,,
2024-12-31T20:00:00+00:00,2025,REG,Milwaukee Bucks,Indiana Pacers,AWAY,120,112,30,28,23,36,35,27,32,21,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401705016/bucks-pacers,,,,
2024-12-29T01:00:00+00:00,2025,REG,Milwaukee Bucks,Chicago Bulls,AWAY,111,116,25,33,35,29,24,21,27,33,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401704996/bucks-bulls,,,,
2024-12-27T01:00:00+00:00,2025,REG,Milwaukee Bucks,Brooklyn Nets,HOME,105,111,25,27,34,24,23,25,23,35,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401704981/nets-bucks,,,,
2024-12-24T01:00:00+00:00,2025,REG,Milwaukee Bucks,Chicago Bulls,AWAY,112,91,33,17,26,28,33,27,20,19,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401704964/bucks-bulls,,,,
2024-12-22T01:00:00+00:00,2025,REG,Milwaukee Bucks,Washington Wizards,HOME,112,101,36,36,27,14,23,22,26,29,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401704948/wizards-bucks,,,,
2024-12-21T00:30:00+00:00,2025,REG,Milwaukee Bucks,Cleveland Cavaliers,AWAY,101,124,20,29,31,40,25,34,25,21,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401704940/bucks-cavaliers,,,,
