date,season,season_type,team,opponent,location,team_total,opp_total,team_q1,opp_q1,team_q2,opp_q2,team_q3,opp_q3,team_q4,opp_q4,ot_count,winner,valid_linescore,espn_url,team_ot1,team_ot2,opp_ot1,opp_ot2
2025-04-13T19:30:00+00:00,2025,REG,Portland Trail Blazers,Los Angeles Lakers,HOME,109,81,29,25,29,18,31,18,20,20,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401705765/lakers-trail-blazers,,,,
2025-04-12T02:00:00+00:00,2025,REG,Portland Trail Blazers,Golden State Warriors,HOME,86,103,20,26,17,24,20,27,29,26,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401705749/warriors-trail-blazers,,,,
2025-04-10T01:00:00+00:00,2025,REG,Portland Trail Blazers,Utah Jazz,AWAY,126,133,28,24,24,31,33,25,29,34,1,OPP,True,https://www.espn.com/nba/game/_/gameId/401705728/trail-blazers-jazz,12,,19,
2025-04-06T22:00:00+00:00,2025,REG,Portland Trail Blazers,San Antonio Spurs,HOME,120,109,33,18,21,27,32,30,34,34,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401705705/spurs-trail-blazers,,,,
2025-04-05T00:00:00+00:00,2025,REG,Portland Trail Blazers,Chicago Bulls,AWAY,113,118,33,30,21,22,29,40,30,26,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401705688/trail-blazers-bulls,,,,
2025-04-03T23:30:00+00:00,2025,REG,Portland Trail Blazers,Toronto Raptors,AWAY,112,103,29,31,18,19,36,26,29,27,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401705682/trail-blazers-raptors,,,,
2025-04-01T23:30:00+00:00,2025,REG,Portland Trail Blazers,Atlanta Hawks,AWAY,127,113,26,27,31,27,40,30,30,29,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401705663/trail-blazers-hawks,,,,
2025-03-30T22:00:00+00:00,2025,REG,Portland Trail Blazers,New York Knicks,AWAY,93,110,25,27,33,23,20,29,15,31,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401705648/trail-blazers-knicks,,,,
2025-03-28T02:00:00+00:00,2025,REG,Portland Trail Blazers,Sacramento Kings,AWAY,107,128,27,36,23,32,32,32,25,28,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401705632/trail-blazers-kings,,,,
2025-03-26T02:00:00+00:00,2025,REG,Portland Trail Blazers,Cleveland Cavaliers,HOME,111,122,33,33,19,27,34,32,25,30,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401705617/cavaliers-trail-blazers,,,,
2025-03-23T22:00:00+00:00,2025,REG,Portland Trail Blazers,Boston Celtics,HOME,116,129,24,34,27,30,39,38,26,27,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401705600/celtics-trail-blazers,,,,
2025-03-22T02:00:00+00:00,2025,REG,Portland Trail Blazers,Denver Nuggets,HOME,128,109,30,30,24,29,34,23,40,27,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401705588/nuggets-trail-blazers,,,,
2025-03-20T02:00:00+00:00,2025,REG,Portland Trail Blazers,Memphis Grizzlies,HOME,115,99,38,29,33,29,25,31,19,10,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401705574/grizzlies-trail-blazers,,,,
2025-03-18T02:00:00+00:00,2025,REG,Portland Trail Blazers,Washington Wizards,HOME,112,97,31,24,28,25,30,21,23,27,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401705561/wizards-trail-blazers,,,,
2025-03-16T22:00:00+00:00,2025,REG,Portland Trail Blazers,Toronto Raptors,HOME,105,102,19,27,33,25,25,30,28,20,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401705546/raptors-trail-blazers,,,,
2025-03-13T02:00:00+00:00,2025,REG,Portland Trail Blazers,New York Knicks,HOME,113,114,21,26,25,22,31,29,29,29,1,OPP,True,https://www.espn.com/nba/game/_/gameId/401705519/knicks-trail-blazers,7,,8,
2025-03-11T02:00:00+00:00,2025,REG,Portland Trail Blazers,Golden State Warriors,AWAY,120,130,27,35,22,33,43,34,28,28,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401705504/trail-blazers-warriors,,,,
2025-03-10T01:00:00+00:00,2025,REG,Portland Trail Blazers,Detroit Pistons,HOME,112,119,28,31,30,33,28,33,26,22,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401705492/pistons-trail-blazers,,,,
2025-03-08T01:00:00+00:00,2025,REG,Portland Trail Blazers,Oklahoma City Thunder,AWAY,89,107,24,29,21,34,28,17,16,27,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401705474/trail-blazers-thunder,,,,
2025-03-06T00:00:00+00:00,2025,REG,Portland Trail Blazers,Boston Celtics,AWAY,118,128,26,31,29,35,27,36,36,26,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401705457/trail-blazers-celtics,,,,
2025-03-04T00:00:00+00:00,2025,REG,Portland Trail Blazers,Philadelphia 76ers,AWAY,119,102,29,32,27,29,35,20,28,21,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401705442/trail-blazers-76ers,,,,
2025-03-02T20:30:00+00:00,2025,REG,Portland Trail Blazers,Cleveland Cavaliers,AWAY,129,133,27,24,27,18,35,37,30,40,1,OPP,True,https://www.espn.com/nba/game/_/gameId/401705433/trail-blazers-cavaliers,10,,14,
2025-03-01T00:30:00+00:00,2025,REG,Portland Trail Blazers,Brooklyn Nets,AWAY,121,102,33,25,31,22,27,35,30,20,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401705419/trail-blazers-nets,,,,
2025-02-27T00:00:00+00:00,2025,REG,Portland Trail Blazers,Washington Wizards,AWAY,129,121,34,27,21,27,39,34,35,33,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401705405/trail-blazers-wizards,,,,
2025-02-25T02:00:00+00:00,2025,REG,Portland Trail Blazers,Utah Jazz,AWAY,114,112,32,33,29,18,25,31,28,30,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401705393/trail-blazers-jazz,,,,
2025-02-23T03:00:00+00:00,2025,REG,Portland Trail Blazers,Charlotte Hornets,HOME,141,88,38,21,35,19,36,26,32,22,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401705376/hornets-trail-blazers,,,,
2025-02-21T03:00:00+00:00,2025,REG,Portland Trail Blazers,Los Angeles Lakers,HOME,102,110,15,28,32,27,30,23,25,32,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401705362/lakers-trail-blazers,,,,
2025-02-13T02:00:00+00:00,2025,REG,Portland Trail Blazers,Denver Nuggets,AWAY,121,132,27,40,29,35,35,32,30,25,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401705346/trail-blazers-nuggets,,,,
2025-02-11T02:00:00+00:00,2025,REG,Portland Trail Blazers,Denver Nuggets,AWAY,117,146,27,38,28,32,37,42,25,34,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401705329/trail-blazers-nuggets,,,,
2025-02-09T01:00:00+00:00,2025,REG,Portland Trail Blazers,Minnesota Timberwolves,AWAY,98,114,22,24,38,23,24,29,14,38,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401705313/trail-blazers-timberwolves,,,,
2025-02-07T03:00:00+00:00,2025,REG,Portland Trail Blazers,Sacramento Kings,HOME,108,102,27,27,27,23,25,27,29,25,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401705298/kings-trail-blazers,,,,
2025-02-05T03:00:00+00:00,2025,REG,Portland Trail Blazers,Indiana Pacers,HOME,112,89,27,18,18,20,33,28,34,23,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401705282/pacers-trail-blazers,,,,
