date,season,season_type,team,opponent,location,team_total,opp_total,team_q1,opp_q1,team_q2,opp_q2,team_q3,opp_q3,team_q4,opp_q4,ot_count,winner,valid_linescore,espn_url,team_ot1,team_ot2,team_ot3,opp_ot1,opp_ot2,opp_ot3
2025-04-13T19:30:00+00:00,2025,REG,Sacramento Kings,Phoenix Suns,HOME,109,98,33,25,24,29,29,21,23,23,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401705766/suns-kings,,,,,,
2025-04-12T02:00:00+00:00,2025,REG,Sacramento Kings,LA Clippers,HOME,100,101,29,24,20,26,21,25,30,26,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401705750/clippers-kings,,,,,,
2025-04-10T02:00:00+00:00,2025,REG,Sacramento Kings,Denver Nuggets,HOME,116,124,25,33,33,33,25,27,33,31,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401705731/nuggets-kings,,,,,,
2025-04-07T23:00:00+00:00,2025,REG,Sacramento Kings,Detroit Pistons,AWAY,127,117,38,37,24,35,35,22,30,23,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401705710/kings-pistons,,,,,,
2025-04-06T22:00:00+00:00,2025,REG,Sacramento Kings,Cleveland Cavaliers,AWAY,120,113,31,27,25,30,35,22,29,34,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401705704/kings-cavaliers,,,,,,
2025-04-04T23:00:00+00:00,2025,REG,Sacramento Kings,Charlotte Hornets,AWAY,125,102,26,18,42,31,30,23,27,30,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401705684/kings-hornets,,,,,,
2025-04-02T23:00:00+00:00,2025,REG,Sacramento Kings,Washington Wizards,AWAY,111,116,26,26,26,29,25,36,34,25,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401705671/kings-wizards,,,,,,
2025-03-31T23:00:00+00:00,2025,REG,Sacramento Kings,Indiana Pacers,AWAY,109,111,28,27,32,27,26,27,23,30,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401705656/kings-pacers,,,,,,
2025-03-29T21:00:00+00:00,2025,REG,Sacramento Kings,Orlando Magic,AWAY,91,121,21,38,25,23,20,37,25,23,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401705640/kings-magic,,,,,,
2025-03-28T02:00:00+00:00,2025,REG,Sacramento Kings,Portland Trail Blazers,HOME,128,107,36,27,32,23,32,32,28,25,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401705632/trail-blazers-kings,,,,,,
2025-03-26T02:00:00+00:00,2025,REG,Sacramento Kings,Oklahoma City Thunder,HOME,105,121,21,31,21,33,39,25,24,32,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401705618/thunder-kings,,,,,,
2025-03-25T02:00:00+00:00,2025,REG,Sacramento Kings,Boston Celtics,HOME,95,113,29,30,22,26,27,32,17,25,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401705610/celtics-kings,,,,,,
2025-03-23T02:00:00+00:00,2025,REG,Sacramento Kings,Milwaukee Bucks,HOME,108,114,25,17,36,32,28,37,19,28,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401705593/bucks-kings,,,,,,
2025-03-21T02:00:00+00:00,2025,REG,Sacramento Kings,Chicago Bulls,HOME,116,128,39,28,25,27,25,37,27,36,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401705579/bulls-kings,,,,,,
2025-03-20T02:00:00+00:00,2025,REG,Sacramento Kings,Cleveland Cavaliers,HOME,123,119,15,22,32,34,43,32,33,31,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401705575/cavaliers-kings,,,,,,
2025-03-18T02:00:00+00:00,2025,REG,Sacramento Kings,Memphis Grizzlies,HOME,132,122,37,26,28,28,33,32,34,36,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401705558/grizzlies-kings,,,,,,
2025-03-15T02:00:00+00:00,2025,REG,Sacramento Kings,Phoenix Suns,AWAY,106,122,22,36,35,26,25,35,24,25,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401705533/kings-suns,,,,,,
2025-03-14T02:00:00+00:00,2025,REG,Sacramento Kings,Golden State Warriors,AWAY,104,130,18,30,33,31,32,35,21,34,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401705523/kings-warriors,,,,,,
2025-03-11T02:30:00+00:00,2025,REG,Sacramento Kings,New York Knicks,HOME,104,133,22,37,29,29,26,37,27,30,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401705505/knicks-kings,,,,,,
2025-03-10T01:30:00+00:00,2025,REG,Sacramento Kings,LA Clippers,AWAY,110,111,23,20,26,31,26,21,22,25,1,OPP,True,https://www.espn.com/nba/game/_/gameId/401705493/kings-clippers,13,,,14,,
2025-03-08T03:00:00+00:00,2025,REG,Sacramento Kings,San Antonio Spurs,HOME,127,109,20,26,36,16,39,34,32,33,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401705476/spurs-kings,,,,,,
2025-03-06T02:00:00+00:00,2025,REG,Sacramento Kings,Denver Nuggets,AWAY,110,116,42,29,23,26,28,29,17,32,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401705462/kings-nuggets,,,,,,
2025-03-04T01:30:00+00:00,2025,REG,Sacramento Kings,Dallas Mavericks,AWAY,122,98,27,24,33,26,34,16,28,32,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401705446/kings-mavericks,,,,,,
2025-03-02T01:00:00+00:00,2025,REG,Sacramento Kings,Houston Rockets,AWAY,113,103,25,21,38,38,26,23,24,21,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401705428/kings-rockets,,,,,,
2025-02-27T02:00:00+00:00,2025,REG,Sacramento Kings,Utah Jazz,AWAY,118,101,22,22,33,24,28,23,35,32,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401705409/kings-jazz,,,,,,
2025-02-25T03:00:00+00:00,2025,REG,Sacramento Kings,Charlotte Hornets,HOME,130,88,34,23,31,22,23,27,42,16,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401705394/hornets-kings,,,,,,
2025-02-22T03:00:00+00:00,2025,REG,Sacramento Kings,Golden State Warriors,HOME,108,132,28,31,25,37,30,32,25,32,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401705371/warriors-kings,,,,,,
2025-02-14T01:00:00+00:00,2025,REG,Sacramento Kings,New Orleans Pelicans,AWAY,133,140,29,28,36,32,30,38,32,29,1,OPP,True,https://www.espn.com/nba/game/_/gameId/401705351/kings-pelicans,6,,,13,,
2025-02-13T01:00:00+00:00,2025,REG,Sacramento Kings,New Orleans Pelicans,AWAY,119,111,34,26,31,37,27,23,27,25,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401705343/kings-pelicans,,,,,,
2025-02-11T01:30:00+00:00,2025,REG,Sacramento Kings,Dallas Mavericks,AWAY,129,128,27,35,34,26,26,32,29,23,1,TEAM,True,https://www.espn.com/nba/game/_/gameId/401705328/kings-mavericks,13,,,12,,
2025-02-09T03:00:00+00:00,2025,REG,Sacramento Kings,New Orleans Pelicans,HOME,123,118,24,31,30,34,45,22,24,31,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401705316/pelicans-kings,,,,,,
2025-02-07T03:00:00+00:00,2025,REG,Sacramento Kings,Portland Trail Blazers,AWAY,102,108,27,27,23,27,27,25,25,29,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401705298/kings-trail-blazers,,,,,,
2025-02-06T03:00:00+00:00,2025,REG,Sacramento Kings,Orlando Magic,HOME,111,130,31,37,29,25,23,42,28,26,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401705293/magic-kings,,,,,,
2025-02-04T01:00:00+00:00,2025,REG,Sacramento Kings,Minnesota Timberwolves,AWAY,116,114,38,34,29,25,21,27,28,28,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401705270/kings-timberwolves,,,,,,
