date,season,season_type,team,opponent,location,team_total,opp_total,team_q1,opp_q1,team_q2,opp_q2,team_q3,opp_q3,team_q4,opp_q4,ot_count,winner,valid_linescore,espn_url,team_ot1,team_ot2,opp_ot1,opp_ot2
2025-04-13T19:30:00+00:00,2025,REG,San Antonio Spurs,Toronto Raptors,HOME,125,118,32,37,22,37,39,21,32,23,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401705763/raptors-spurs,,,,
2025-04-12T02:00:00+00:00,2025,REG,San Antonio Spurs,Phoenix Suns,AWAY,98,117,33,28,14,25,17,39,34,25,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401705748/spurs-suns,,,,
2025-04-10T02:00:00+00:00,2025,REG,San Antonio Spurs,Golden State Warriors,AWAY,114,111,23,32,32,19,21,37,38,23,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401705729/spurs-warriors,,,,
2025-04-09T02:30:00+00:00,2025,REG,San Antonio Spurs,LA Clippers,AWAY,117,122,26,28,26,26,26,37,39,31,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401705721/spurs-clippers,,,,
2025-04-06T22:00:00+00:00,2025,REG,San Antonio Spurs,Portland Trail Blazers,AWAY,109,120,18,33,27,21,30,32,34,34,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401705705/spurs-trail-blazers,,,,
2025-04-05T00:00:00+00:00,2025,REG,San Antonio Spurs,Cleveland Cavaliers,HOME,113,114,28,38,22,29,32,24,31,23,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401705690/cavaliers-spurs,,,,
2025-04-03T01:00:00+00:00,2025,REG,San Antonio Spurs,Denver Nuggets,AWAY,113,106,33,21,33,33,22,31,25,21,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401705676/spurs-nuggets,,,,
2025-04-02T00:00:00+00:00,2025,REG,San Antonio Spurs,Orlando Magic,HOME,105,116,34,29,27,32,23,18,21,37,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401705554/magic-spurs,,,,
2025-03-30T23:00:00+00:00,2025,REG,San Antonio Spurs,Golden State Warriors,HOME,106,148,27,44,17,24,29,43,33,37,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401705652/warriors-spurs,,,,
2025-03-30T00:00:00+00:00,2025,REG,San Antonio Spurs,Boston Celtics,HOME,111,121,27,36,25,28,29,30,30,27,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401705646/celtics-spurs,,,,
2025-03-27T23:00:00+00:00,2025,REG,San Antonio Spurs,Cleveland Cavaliers,AWAY,116,124,24,30,25,24,34,32,33,38,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401705625/spurs-cavaliers,,,,
2025-03-25T23:00:00+00:00,2025,REG,San Antonio Spurs,Detroit Pistons,AWAY,96,122,22,30,12,30,35,28,27,34,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401705612/spurs-pistons,,,,
2025-03-23T22:00:00+00:00,2025,REG,San Antonio Spurs,Toronto Raptors,AWAY,123,89,36,16,26,24,35,23,26,26,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401705599/spurs-raptors,,,,
2025-03-22T00:00:00+00:00,2025,REG,San Antonio Spurs,Philadelphia 76ers,HOME,128,120,28,26,36,26,27,43,37,25,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401705584/76ers-spurs,,,,
