date,season,season_type,team,opponent,location,team_total,opp_total,team_q1,opp_q1,team_q2,opp_q2,team_q3,opp_q3,team_q4,opp_q4,ot_count,winner,valid_linescore,espn_url,team_ot1,team_ot2,team_ot3,opp_ot1,opp_ot2,opp_ot3
2025-04-13T19:30:00+00:00,2025,REG,Toronto Raptors,San Antonio Spurs,AWAY,118,125,37,32,37,22,21,39,23,32,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401705763/raptors-spurs,,,,,,
2025-04-12T00:30:00+00:00,2025,REG,Toronto Raptors,Dallas Mavericks,AWAY,102,124,25,35,13,31,29,30,35,28,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401705744/raptors-mavericks,,,,,,
2025-04-09T23:30:00+00:00,2025,REG,Toronto Raptors,Charlotte Hornets,HOME,126,96,25,23,28,22,35,23,38,28,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401705724/hornets-raptors,,,,,,
2025-04-06T19:30:00+00:00,2025,REG,Toronto Raptors,Brooklyn Nets,AWAY,120,109,28,23,33,23,21,26,38,37,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401705700/raptors-nets,,,,,,
2025-04-04T23:30:00+00:00,2025,REG,Toronto Raptors,Detroit Pistons,HOME,105,117,28,29,27,36,22,28,28,24,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401705687/pistons-raptors,,,,,,
2025-04-03T23:30:00+00:00,2025,REG,Toronto Raptors,Portland Trail Blazers,HOME,103,112,31,29,19,18,26,36,27,29,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401705682/trail-blazers-raptors,,,,,,
2025-04-02T00:00:00+00:00,2025,REG,Toronto Raptors,Chicago Bulls,AWAY,118,137,32,39,25,31,22,32,39,35,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401705665/raptors-bulls,,,,,,
2025-03-30T23:30:00+00:00,2025,REG,Toronto Raptors,Philadelphia 76ers,AWAY,127,109,32,31,31,18,32,33,32,27,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401705653/raptors-76ers,,,,,,
2025-03-28T23:30:00+00:00,2025,REG,Toronto Raptors,Charlotte Hornets,HOME,108,97,32,20,17,27,34,25,25,25,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401705635/hornets-raptors,,,,,,
2025-03-26T23:30:00+00:00,2025,REG,Toronto Raptors,Brooklyn Nets,AWAY,116,86,32,18,30,27,31,23,23,18,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401705620/raptors-nets,,,,,,
2025-03-24T23:00:00+00:00,2025,REG,Toronto Raptors,Washington Wizards,AWAY,112,104,28,32,24,18,26,26,34,28,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401705605/raptors-wizards,,,,,,
2025-03-23T22:00:00+00:00,2025,REG,Toronto Raptors,San Antonio Spurs,HOME,89,123,16,36,24,26,23,35,26,26,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401705599/spurs-raptors,,,,,,
2025-03-21T02:00:00+00:00,2025,REG,Toronto Raptors,Golden State Warriors,AWAY,114,117,30,33,31,34,31,26,22,24,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401705571/raptors-warriors,,,,,,
2025-03-18T02:00:00+00:00,2025,REG,Toronto Raptors,Phoenix Suns,AWAY,89,129,29,24,11,39,24,30,25,36,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401705557/raptors-suns,,,,,,
2025-03-16T22:00:00+00:00,2025,REG,Toronto Raptors,Portland Trail Blazers,AWAY,102,105,27,19,25,33,30,25,20,28,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401705546/raptors-trail-blazers,,,,,,
2025-03-15T01:30:00+00:00,2025,REG,Toronto Raptors,Utah Jazz,AWAY,126,118,33,26,23,32,35,30,35,30,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401705532/raptors-jazz,,,,,,
2025-03-12T23:30:00+00:00,2025,REG,Toronto Raptors,Philadelphia 76ers,HOME,118,105,29,23,40,32,20,31,29,19,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401705513/76ers-raptors,,,,,,
2025-03-10T23:30:00+00:00,2025,REG,Toronto Raptors,Washington Wizards,HOME,119,104,33,33,26,27,34,19,26,25,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401705498/wizards-raptors,,,,,,
2025-03-09T00:30:00+00:00,2025,REG,Toronto Raptors,Washington Wizards,HOME,117,118,39,33,26,36,24,26,28,23,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401705481/wizards-raptors,,,,,,
2025-03-08T00:30:00+00:00,2025,REG,Toronto Raptors,Utah Jazz,HOME,118,109,28,27,29,19,35,32,26,31,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401705471/jazz-raptors,,,,,,
2025-03-05T00:00:00+00:00,2025,REG,Toronto Raptors,Orlando Magic,AWAY,114,113,22,22,27,32,31,19,34,40,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401705449/raptors-magic,,,,,,
2025-03-02T23:00:00+00:00,2025,REG,Toronto Raptors,Orlando Magic,AWAY,104,102,27,19,21,28,33,25,23,30,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401705436/raptors-magic,,,,,,
2025-03-01T01:00:00+00:00,2025,REG,Toronto Raptors,Chicago Bulls,AWAY,115,125,30,27,33,27,27,27,20,29,1,OPP,True,https://www.espn.com/nba/game/_/gameId/401705421/raptors-bulls,5,,,15,,
2025-02-27T00:00:00+00:00,2025,REG,Toronto Raptors,Indiana Pacers,AWAY,91,111,24,26,17,25,23,30,27,30,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401705403/raptors-pacers,,,,,,
2025-02-26T00:00:00+00:00,2025,REG,Toronto Raptors,Boston Celtics,HOME,101,111,24,35,30,31,22,23,25,22,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401705395/celtics-raptors,,,,,,
2025-02-23T23:00:00+00:00,2025,REG,Toronto Raptors,Phoenix Suns,HOME,127,109,29,25,38,27,21,30,39,27,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401705382/suns-raptors,,,,,,
2025-02-22T00:30:00+00:00,2025,REG,Toronto Raptors,Miami Heat,HOME,111,120,19,30,29,27,32,27,27,23,1,OPP,True,https://www.espn.com/nba/game/_/gameId/401705366/heat-raptors,4,,,13,,
2025-02-13T00:30:00+00:00,2025,REG,Toronto Raptors,Cleveland Cavaliers,HOME,108,131,17,41,26,27,35,32,30,31,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401705340/cavaliers-raptors,,,,,,
2025-02-12T00:00:00+00:00,2025,REG,Toronto Raptors,Philadelphia 76ers,AWAY,106,103,26,18,24,34,34,29,22,22,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401705330/raptors-76ers,,,,,,
2025-02-09T19:00:00+00:00,2025,REG,Toronto Raptors,Houston Rockets,AWAY,87,94,22,18,20,19,21,21,24,36,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401705319/raptors-rockets,,,,,,
2025-02-08T01:00:00+00:00,2025,REG,Toronto Raptors,Oklahoma City Thunder,AWAY,109,121,25,35,22,23,29,32,33,31,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401705305/raptors-thunder,,,,,,
2025-02-06T00:30:00+00:00,2025,REG,Toronto Raptors,Memphis Grizzlies,HOME,107,138,29,22,30,31,25,43,23,42,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401705288/grizzlies-raptors,,,,,,
2025-02-05T00:30:00+00:00,2025,REG,Toronto Raptors,New York Knicks,HOME,115,121,34,30,17,38,35,30,29,23,0,OPP,True,https://www.espn.com/nba/game/_/gameId/401705279/knicks-raptors,,,,,,
2025-02-02T20:30:00+00:00,2025,REG,Toronto Raptors,LA Clippers,HOME,115,108,36,32,25,29,31,16,23,31,0,TEAM,True,https://www.espn.com/nba/game/_/gameId/401705263/clippers-raptors,,,,,,
